NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
272757,188793,1292883,1056721,81195,569670,107357,157241,611556,922698,71054,388760,373470,235723,328444,151501,26121,16986,20887,140413,95540,134420,66761,29673,78814,37719,146935,113117
318006,227296,1552693,1327343,94430,703667,132519,195378,749116,937318,71981,416724,422095,255812,406395,181088,29574,19274,22908,170756,104389,138153,72208,34012,87836,47673,125484,120971
302651,219333,1551393,1270735,86024,700836,129723,183586,712703,874222,69309,407918,418744,248971,400164,190746,29024,19329,22970,162775,102831,143793,70883,34702,100128,48531,135753,149888
282322,208378,1303339,1174714,81070,663039,122791,169691,652403,851999,69047,369814,372605,231834,367957,166696,29012,19605,22231,163008,103372,142041,69585,33769,108018,45987,132055,167798
336856,237416,1432711,1420216,97846,701791,144387,191298,745211,1086300,81084,435148,425532,261935,415841,194132,32780,22075,25881,194208,119011,164106,74656,39311,108036,47323,132340,150622
339409,247277,1468564,1398822,100348,624107,151097,166427,673097,1094851,79046,433478,422020,272410,364754,195177,34290,23109,27762,192152,124056,169249,74671,40441,104849,41833,127843,124949
341134,254112,1543545,1551865,99953,783377,152131,206828,893390,1069445,84515,411564,447221,277518,472094,190603,35332,23133,28549,197214,133417,177629,84817,41537,100482,46803,116307,136587
349287,266623,1568486,1597400,102190,812894,155795,219495,927176,1081252,81508,409946,434236,257539,472356,198684,34526,23042,27562,204645,130622,182215,86112,41898,102614,48587,125861,145799
343052,263271,1550445,1568030,99002,815566,158476,214410,925693,1053354,83666,377674,402933,247456,465361,195382,33280,22794,25877,195591,123130,176866,83283,41494,111763,50634,129044,155316
308810,238607,1436406,1368978,87898,733168,138873,188126,769614,950987,72875,410887,377835,227256,415925,173170,28826,20318,22001,171477,116077,160615,75913,38094,107940,48127,129802,156388
290932,224490,1268940,1257690,89819,672785,132893,169182,673173,882525,70443,409085,406115,254051,374859,163391,28721,19869,22944,162346,104466,144013,71443,36255,101461,45323,118582,144322
344443,261923,1476245,1600633,104342,793637,155895,212033,896680,1064591,78839,431140,463518,293122,459875,195520,32682,22288,27340,198149,118400,163324,80782,40221,104242,48268,120684,149733
346591,261599,1563470,1597680,100006,806302,163094,210453,945220,1025709,76332,428401,454440,276357,458483,199299,32840,22391,27739,190881,119489,164973,79868,41488,106071,49935,127745,153016
347661,264500,1619212,1619418,101420,802489,160070,216105,952671,1091337,84539,434978,453397,272460,460846,203626,32891,22693,26933,198884,120696,165143,81250,41991,104612,51493,124386,151177
356059,281915,1787418,1683775,105471,818228,159436,221139,960873,1078884,81831,408361,448926,274444,465393,207348,32422,22345,26629,204307,120772,170517,83465,41964,106536,51403,130398,157454
339159,257518,1543286,1618183,100340,788396,145378,220720,958995,1017702,79980,425671,435736,273016,464044,202830,32776,21933,26432,201176,121162,168290,84204,42086,105859,51363,129582,156431
296152,222623,1246797,1321220,83104,702208,125728,193903,783384,923996,72590,419275,414270,257336,415958,174571,29389,19539,23636,171065,110916,159738,76529,37490,101985,46930,129144,152973
283272,208799,1188468,1188874,82335,669078,125836,165557,673709,858783,66259,397879,399640,243665,361273,153026,28303,18719,22636,157184,102632,143424,72470,33911,103284,43177,120427,144087
335404,239948,1367987,1538738,101251,757105,140260,206734,886674,991600,78233,455290,476530,265399,446861,182781,33066,21675,26081,190694,116960,159233,79392,38660,103074,46559,117612,154257
335788,246588,1414949,1566682,103745,761349,147144,210601,934701,1061342,83785,471031,485997,288486,457773,185892,34057,22558,26720,189675,120074,165648,81123,40377,105290,48545,117557,151207
343144,255023,1548893,1610893,103975,789090,155746,216426,953962,1158240,84698,484033,491095,298542,458935,197094,33647,22566,27501,196205,120353,162895,81186,40739,102691,48347,118183,149111
350480,266216,1656135,1659186,105546,821838,172679,222864,956137,1183187,88276,487699,524580,307894,465516,205723,33737,22853,28385,205518,121733,163626,83828,41009,102895,49648,120588,147680
