NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
285725,204446,1560794,1135421,90686,580399,115523,168022,613653,1057645,76795,469809,441707,244662,339709,169881,26731,17557,21655,151561,96618,137033,67112,30133,78738,38488,146422,113117
323352,236375,1896616,1373855,96290,776289,148548,200614,763448,1115940,78412,466297,483331,273349,411288,197708,30576,20199,24045,173544,103759,143201,72762,34443,90657,50765,134070,119396
319782,238523,1838385,1349511,97659,756087,135616,191899,731057,1114411,72996,476433,500178,274665,409198,204037,29705,20595,25608,174074,103069,150508,70676,34883,103430,51383,137495,146452
308893,239613,1754143,1293648,94914,711257,123635,186812,681335,1004735,69622,453892,478728,252718,381091,195059,29628,21684,23946,184146,103260,146243,68321,34617,109456,50041,135783,161285
357423,279949,2009588,1553775,98876,738916,146235,207419,761755,1189940,82218,464622,488343,278019,418311,222550,33963,23762,27486,207048,117280,168741,75361,40235,117192,52530,141697,150258
356903,284673,1906551,1547962,101465,642985,154568,186483,703255,1168653,81321,479337,481988,283013,383617,227267,35473,24811,28886,207028,121312,174997,73809,41600,116028,48369,139368,125447
358771,284679,1919258,1686365,102064,834799,160404,226720,915265,1186332,84285,452953,505703,289308,476996,222837,36596,24966,29798,213439,131273,183493,86526,42855,108054,53781,130637,138246
364028,298238,2005476,1732298,104449,878900,163975,235983,947773,1141659,83907,439463,497241,269611,475525,233286,35621,24739,29172,216310,128028,189519,86772,43623,114995,56615,141236,152674
357870,288174,1923108,1695382,103642,845921,163294,234665,948061,1154336,85434,420922,466233,265515,479176,225438,34889,24583,27673,215751,121600,185937,84817,43270,126857,59165,147927,172808
321959,251793,1579836,1460046,95938,751710,149948,203814,790246,967321,71445,425942,438915,253535,439106,189866,30992,23046,25650,188096,118382,173349,76924,39876,123107,55784,145485,177785
303350,237138,1424017,1334828,98998,682121,138643,188857,687908,1061719,73652,427351,438198,266420,391760,181906,30031,21776,25192,180132,108809,156677,73146,37754,112267,51207,134334,155671
356409,281205,1904214,1700122,107615,824967,153980,228501,923082,1270744,85570,479033,517647,296598,472237,223403,34255,23631,27986,212317,118960,173328,83434,41739,116205,55744,140353,152319
361296,286298,2036687,1744943,103663,908114,172696,233267,970195,1150392,77342,445383,528546,287482,477590,238140,34565,23992,28742,211928,120673,174960,83928,42794,122465,56113,146880,165135
353078,272319,1945075,1728906,103976,883477,166234,236663,977822,1076255,85214,424554,471377,279368,468699,237327,34234,24285,28287,215298,119539,177416,83392,43528,124207,58700,146764,171794
356593,282501,1965094,1717440,107998,858404,163178,234762,981552,1095171,82223,463722,494078,272973,468121,232067,33731,23884,27359,211168,117142,180196,83397,43296,125400,58467,145788,188427
348668,272667,1837057,1683117,102366,817266,149216,232420,976296,1046288,82241,419148,472059,283966,468000,226776,33971,23404,28052,206920,117676,176695,83908,43126,123969,58272,146191,194352
308851,237211,1452759,1433862,92007,707355,123998,211510,807238,951661,74915,394455,421044,258105,430054,194966,30387,21889,25924,194556,110327,172444,75167,39575,119435,54644,143042,187543
293854,225288,1393443,1309068,89679,680351,137519,189651,692724,960730,76098,384439,411444,254968,386678,171506,29509,21443,26139,191156,103962,160594,71323,35622,124073,49940,140461,176195
345831,259042,1642402,1637524,102853,817472,144081,231508,917158,1105702,85795,443605,477274,276184,451157,211457,34371,23808,26672,209396,115385,173686,81620,40259,127654,52802,147411,174844
341591,254281,1569545,1660836,105653,800197,152066,234931,960738,1120069,87544,451773,480135,289331,463707,206095,34487,23926,26805,210867,117611,177076,83039,42297,126991,55671,144674,177233
345022,257549,1615026,1650986,105177,826594,155375,233505,974010,1151236,84530,438360,478713,297720,463944,210877,34865,24322,27439,211744,118040,176874,83014,42304,126290,53680,146230,179573
343246,248704,1451703,1616958,105562,815253,156377,226035,971867,1136875,87712,456638,471791,307362,467627,199739,34404,24244,28055,208434,120430,175868,84408,41946,124408,53669,141403,173687
344972,251405,1536554,1592546,104299,774879,146523,217769,950801,1128246,86903,491104,465457,295748,465950,194846,34048,24161,27652,197884,122508,179047,83495,41490,117202,50636,132989,161416
307570,240029,1541830,1395476,88240,702927,123156,195416,774857,999695,77232,475444,468943,267026,420547,183310,30471,20640,23109,173027,113411,164059,77777,38122,108024,46783,128413,149054
298133,228041,1272288,1283809,87651,647238,116348,177583,673258,1020086,75591,423526,426125,255827,382363,159214,29610,19449,23006,173967,107728,148034,75047,35288,106100,43995,123493,138583
343155,256038,1583045,1583825,104273,775473,141106,210323,913219,1202230,85911,485336,506998,272008,454227,196940,33369,22258,26526,192861,120350,167563,81372,39531,105568,45676,118812,145620
350181,270093,1733693,1674604,102953,815225,145436,228212,953870,1228157,83636,459741,511025,270468,470719,213363,33128,22160,26936,209144,125154,167613,84297,41984,105808,49467,122639,149213
347388,257086,1576629,1636462,105356,800806,144758,222672,964645,1087270,82087,473020,521850,284680,471143,198622,33828,22693,27568,205885,124633,174490,85484,42028,113256,50263,132120,161490
343715,251618,1583750,1607337,104957,817008,153823,223056,966683,1078265,83102,459777,526248,286961,463159,208491,33394,22533,27412,199512,126729,171071,84442,42822,111378,50787,127141,153180
346461,262327,1583153,1598911,100747,817153,156461,217302,947660,1181324,82867,454394,513840,288280,463011,200420,32888,22396,26813,198246,124990,175366,82949,42215,110505,53183,131030,154522
310734,245386,1550576,1394901,93625,715632,124894,194437,796436,886601,70594,430478,482394,276813,420158,185669,30814,21681,26478,175600,112398,162684,77042,38183,101161,49304,126949,149083
281111,221782,1367342,1238112,80676,642507,106877,174869,686622,853694,66901,389101,400027,264099,373343,162591,29130,21061,25219,166808,107902,155267,75048,36647,107133,47443,125563,142788
341834,258950,1571838,1610775,103741,775221,145945,215590,911098,1107680,78131,468415,455290,268537,452703,192126,31997,21777,25819,203700,121887,169092,83063,40717,107864,49720,127803,146489
342657,264912,1618684,1651080,105988,816695,147472,219024,961540,1035989,76871,449125,467432,272889,467012,194421,33248,22490,26403,208325,124504,173914,85685,42736,104935,53951,130573,149815
339559,254210,1542452,1627316,106353,760274,134961,220164,953825,1059103,77445,450426,428705,254733,467717,189578,33517,23507,26606,207888,126038,180339,85659,42758,116561,56698,136364,180899
342939,254457,1515459,1613869,104538,732285,135463,219371,973609,1083722,79511,449415,453571,269908,470277,191271,33508,22788,27392,207263,125251,177974,84908,42939,116148,53829,136657,176507
330773,246955,1555732,1550831,101278,721524,134425,214913,938712,1010326,79365,445085,431915,272382,468359,194795,32959,22821,27242,202242,124870,182193,83710,41756,117286,52370,136446,177776
301386,227591,1436416,1353252,89646,701475,117219,179495,794661,959122,72396,454625,433103,265206,410878,166961,29547,19700,24423,165427,111355,163578,79865,37403,100236,44091,122315,155719
293938,223581,1356801,1279618,92082,642162,112525,171651,696858,982145,72672,465426,449897,258517,380314,157661,29041,19942,24563,168385,106614,149279,75510,35293,94459,41593,116606,123655
350448,271903,1540854,1670001,99738,761337,142019,222742,944534,1189105,82143,489215,495513,276291,463937,171157,33334,22485,27147,214692,124782,167139,84755,41159,96523,48055,117133,130682
353580,273952,1569877,1688301,98076,817279,156145,224204,981062,1151301,82356,474342,487752,274444,466130,192450,33201,21978,26458,212630,123454,175062,85861,42643,97511,53876,130614,131622
338490,249682,1480637,1620276,100285,825269,149766,219274,976605,1111584,82203,462623,501283,280727,464666,196873,33606,23081,26749,203371,122568,179315,83911,41613,100922,50280,125728,133621
336250,248102,1509141,1585121,99258,807995,144847,216020,963161,1080322,82078,450689,457553,284290,453666,191834,33257,23161,27458,199828,121850,172309,83542,41246,102928,47004,120512,139413
328241,252330,1557406,1561093,97100,773970,149234,210118,954812,1082528,83168,420998,433721,266318,449182,191756,32205,22018,25565,195806,121077,169009,81328,40701,102146,46859,119687,147311
294006,226914,1432454,1337214,79151,705125,133270,187587,800001,1003417,73083,381707,383796,245049,401498,180583,28839,19350,22698,169894,110186,156777,76750,37243,97840,46002,114769,138605
267348,203173,1203939,1222068,81964,649214,120861,173078,694909,911294,71754,384923,388090,234542,366145,164779,27843,18381,20771,166793,103528,148752,72737,34321,101245,43221,114209,136268
