NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
285204,195896,1267119,1138765,101130,562480,104879,169922,617143,914021,68654,474015,466948,267121,346600,154391,27016,19497,24792,167089,95022,145536,64704,30969,82682,41145,156249,113117
314907,214575,1351903,1282106,95487,669604,122816,186655,743773,933043,72883,462202,494941,283688,408871,160927,30847,21332,24382,163768,102628,146288,72425,33798,97328,47552,130914,128861
311109,218017,1429125,1272717,109438,675077,121439,174898,698437,1029348,77546,485583,505209,276602,406732,177325,29720,21146,26684,156314,101650,143492,70472,33564,96521,43969,123235,134776
308874,235468,1497653,1258568,107578,660985,120379,169701,643532,1071655,78048,483804,508565,262844,381182,169276,29531,21686,25830,170884,103187,139790,69484,33053,100847,42210,120934,135307
353221,272829,1978080,1540126,98679,718496,148000,205181,751332,1291385,87341,477063,512851,292480,417305,215535,33954,23790,27346,207045,117606,166189,75039,39737,102962,48205,127745,130722
356718,283240,2068075,1535372,99900,648730,160116,186062,684486,1274566,84975,492748,528021,296071,383698,223231,35429,24846,28757,207108,120203,175186,72630,41594,104906,47428,133901,121671
361056,294109,2172741,1691249,101236,823559,152683,227755,913183,1331869,91842,469849,530895,298572,474818,226845,36447,24997,29519,213772,128811,184325,85389,42992,97648,53533,118109,136565
370734,312656,2136705,1742570,103947,836000,164967,237132,944804,1290252,91968,481849,528723,288560,471902,232287,35410,24796,29078,216580,125548,190186,85640,43727,105630,57278,139713,143318
371202,315777,2023946,1749983,102653,878419,176110,238234,945108,1279254,92038,449025,508563,286110,473570,233512,34673,24605,27802,216246,118666,186230,83503,43348,114617,58980,141010,148661
340521,274572,1739200,1532620,112384,809277,172807,215494,797568,1084138,78032,473019,514630,268516,443433,209661,30807,23410,27055,206694,116558,172031,74461,40528,106337,57563,144707,145301
314111,254464,1746352,1384889,104941,762095,162818,197161,705376,1109781,77817,394205,452495,271846,394993,196483,29933,22782,26689,194047,106564,159103,70680,38621,111891,55333,136056,138080
360673,299804,2056651,1737924,107561,941065,186394,233309,926290,1245829,82752,447986,486407,298689,468146,231725,34166,24236,27874,214042,115089,174127,81899,42099,123579,57952,142099,163574
356860,281593,2027844,1718333,103340,940919,190936,232544,969046,1087125,76054,455809,501940,283713,478420,230960,34297,23809,28300,212064,116799,175416,82713,43058,124024,58803,147512,172593
349405,270456,1898277,1667723,102956,902307,179909,227246,973037,1057618,83283,427746,472413,288956,474367,218749,33805,24043,28020,208722,120293,177385,84004,43354,125520,58452,146327,178567
357800,285282,1945237,1693430,106921,882906,176126,228217,972917,1090028,82535,430898,465039,286631,466796,215754,32907,22650,27580,205080,120596,176443,83939,43211,116879,55590,141122,173373
345034,267904,1809944,1648410,101621,847197,165714,228069,968621,1063887,77567,453663,465668,285130,466016,218346,33192,22085,27111,203092,118734,174459,84710,42991,111231,54859,140799,157867
312121,244296,1596951,1415906,88058,736459,138293,208002,797559,947600,71433,391941,407698,269130,423188,191204,30094,20262,24405,183897,110522,169813,76173,39492,110675,53128,142705,157572
300015,235223,1530882,1303655,86065,701358,128525,187680,689164,934699,67756,382640,395970,244215,382750,174799,29518,19778,23590,182667,104165,157743,71719,36062,112814,50579,138837,158259
346610,262169,1645987,1625800,102865,798134,147144,229590,915150,1064228,80572,443496,461729,264117,458435,206145,34399,22924,25889,207897,115673,171635,81952,40782,115095,55408,142587,165117
342809,256766,1565815,1635335,105142,800871,146483,231154,956583,1068870,82903,452638,473621,290440,470120,203652,34679,23248,26774,208492,118309,175168,83593,42360,115433,56470,139675,166762
