NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
286553,205280,1460666,1124250,91027,579578,110126,167269,620141,1036750,74044,463893,465483,255488,337544,167255,26667,17441,21789,149282,96450,137082,67165,30282,78753,38631,150001,113117
322602,228747,1497616,1346931,96390,697686,127180,198508,759964,961462,73197,465627,489689,278587,410963,179016,30675,20132,24337,172850,104066,142784,72769,34563,94362,50231,131956,129964
308832,221573,1471959,1282509,96041,687524,124851,182310,711690,979742,74292,482296,501855,269201,406801,179984,29780,20664,25053,162458,103079,145793,70726,35186,102071,48744,133570,151641
291506,216613,1358162,1195793,89332,673124,129377,171669,652277,971527,73026,479567,473702,255300,374861,168615,29683,21162,24872,165192,103166,140691,69647,33303,105034,43378,126100,148444
344267,246006,1503967,1442063,100570,737469,147982,195285,745661,1201895,89288,477828,462859,290266,424059,191809,33819,22872,27673,198808,119034,161232,75424,38967,101798,44583,120991,133161
344712,257035,1616641,1422921,102600,642295,165852,167068,668455,1224379,88084,484518,447090,293649,373914,190977,35206,23604,29025,197990,123584,168226,74978,39774,99492,39787,120987,121671
349224,268572,1807887,1573708,102234,850632,164705,203388,885284,1268370,90259,468069,482474,295318,478520,189977,36148,23702,29464,199350,132138,177288,84909,40382,95111,44345,108183,136565
361994,291413,1963702,1660007,104593,859234,158024,216213,920831,1247691,85291,482260,496149,271153,476804,207733,34984,23461,28245,206514,128773,181141,84981,40779,99994,46701,117418,142617
364225,294460,1886530,1676188,103845,811858,156553,219760,925037,1168128,85911,457505,516280,278898,481080,210129,34520,23307,27426,208204,123415,176730,83443,41131,107718,51068,127166,148785
327441,257220,1629867,1469356,97384,741712,146559,197439,774002,981881,73381,468502,475720,259888,435701,185460,30901,22331,26664,183604,117130,160326,76716,38165,104666,48840,129653,150232
301981,235038,1441250,1317606,97636,693596,131304,180403,679369,956167,73290,445519,447788,272359,385893,179804,29777,21691,26849,170694,106746,145510,72712,36093,100886,45982,122397,142185
348102,264132,1530440,1633774,107256,788048,150315,218444,908987,1102916,81285,471340,481463,297633,469241,204640,33640,23661,27800,204753,119891,164833,82112,40627,102334,50005,126428,143024
350386,264494,1588341,1608947,101711,820266,158486,212064,950681,1073191,77808,437912,459898,268202,469003,199989,33748,23360,27599,194627,122025,166104,82458,41485,103338,50645,130742,142623
