NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
279242,197135,1384192,1089205,84828,601979,113925,166139,618229,947206,69790,413317,398099,263797,337792,159790,27158,18886,23936,151045,96296,137369,67157,29711,78822,37747,147311,113117
315303,221206,1465111,1298879,95464,707409,124323,192440,749676,925161,72290,425172,433938,280220,409041,170989,30495,20940,24742,170189,104038,140294,72146,33349,90056,44973,119972,123302
302620,217273,1446357,1250122,87635,679291,119534,177971,707433,919195,72758,415097,415204,264857,400722,180507,29333,20165,24490,158398,102093,142101,70706,33325,96003,44654,123584,139566
287236,212846,1341669,1185577,84316,649339,118433,168270,650037,908499,72851,405661,403691,240774,368953,168766,29156,19576,22431,161702,101376,138104,69124,32682,101399,42440,121626,142072
341748,243878,1483061,1431865,99961,698055,144949,193419,742553,1191779,86224,463767,447097,267502,420210,190847,33556,22317,26598,196192,119037,163370,74800,38632,103137,44891,123986,135994
344031,258528,1530388,1441355,102202,633050,149848,171478,671414,1146260,80749,493347,459920,271175,372997,196776,35075,23647,27954,198038,124169,169323,75012,40212,99271,40208,118488,121671
339018,248912,1520557,1544560,101412,790949,149636,209695,899574,1128240,87750,475083,501404,278411,477392,192122,36020,23860,28959,201443,133663,179607,86088,41871,101311,47096,117377,136565
347965,266302,1647529,1596874,103562,813293,157303,218742,933337,1086962,81955,481168,503725,273308,470820,204286,34743,23584,28681,201265,130206,182509,84985,42417,102646,49133,126384,144782
347363,272371,1725513,1598610,102920,819984,155847,217988,935017,1060775,82528,457388,497031,280251,476451,208255,34618,23633,27548,198454,122353,177593,82426,42293,111496,52456,131183,156932
316383,251149,1577427,1416844,89584,722068,133541,197303,782799,915080,69505,396343,418139,261305,432165,182465,30904,22479,25383,178261,116717,167686,76280,38974,111934,50179,133744,161388
297026,230938,1319207,1291609,90586,660515,126909,181948,689758,883992,70189,362868,381607,256122,382743,167393,29421,21233,23475,171755,108011,152707,73057,37268,109036,48075,126202,160624
349431,267883,1525438,1638497,106481,780552,149026,219799,916191,1071133,80298,425853,464708,296001,470074,196616,33392,22756,27210,208987,120349,167223,83293,41428,106949,51097,127751,153849
354155,269197,1584301,1659492,102849,813938,164635,223334,956251,1043230,78362,418184,468078,286750,477632,208618,33774,23327,28284,208840,122108,169207,83802,42110,104863,50818,132483,146618
346503,262770,1673023,1636161,102873,849621,160472,223439,958656,1091484,86109,418124,460874,279496,474297,209381,33670,24360,27915,210367,122330,171479,83948,41901,108325,50851,129755,153958
354707,275572,1731563,1668657,106518,841185,157210,222612,962322,1082164,83057,425454,457411,265599,468373,212013,33333,23799,26752,204547,121477,174352,83945,42064,108232,50790,128008,155207
341526,257659,1568221,1605936,100864,801576,144073,220505,961131,1067623,79285,435050,449413,271957,464665,205330,33487,22792,27157,199183,121622,170923,84143,41755,105215,50628,126644,153098
304238,236129,1507757,1379070,85844,715504,128456,201610,791124,954187,70859,428308,414996,251937,420088,189524,29966,20330,23735,176358,110852,163102,76636,37972,101776,48592,131040,150725
295318,227357,1401131,1274978,84724,680023,125405,182185,685664,903968,68457,451984,426412,243446,378321,169791,29198,19817,23337,174420,105595,151319,73461,35286,106644,47200,133016,152199
343753,256285,1566448,1599054,102504,761922,139318,221331,907706,1141624,85126,472729,471283,260400,457097,201628,34226,22888,26292,202118,120284,167194,82837,39779,110408,50168,130814,164313
349342,266103,1774787,1663519,105371,782300,143761,228838,959130,1206585,86091,483176,516826,283615,468299,213494,34030,23303,26246,204928,122375,170214,83582,41542,107833,53451,128553,157661
354555,277614,1884486,1689536,104687,845405,151717,230262,977484,1211538,80108,484816,526658,298264,469703,218057,34908,24033,27256,208484,122736,170400,83893,42200,106029,54561,136420,155965
357739,286639,1987859,1698419,105658,854752,164316,232514,979087,1156135,81491,461716,492662,291045,470847,229951,34514,24182,28070,210883,122507,173579,84804,42177,108185,55164,136948,157056
354409,274661,1909431,1661683,104599,822682,155699,230170,964052,1214024,86076,469765,456186,282139,468372,220464,34325,24315,27479,207894,122176,181680,83781,42302,118248,55436,142352,164134
315884,253023,1789632,1448029,93944,751470,136798,203849,788619,1051907,79081,470586,462774,274849,429250,194876,30796,21958,24286,184955,113168,171330,76420,38827,120205,52653,134273,175814
309551,248262,1762109,1361714,93234,724038,139003,192105,691140,1104371,80960,439956,443576,260504,389250,183821,29889,21052,23611,189532,107617,153781,73774,36373,115872,50599,129399,161465
356894,290965,2049121,1720279,104224,858173,164370,231610,933570,1252763,88310,476456,493978,262741,456979,226913,33885,23033,26471,210922,119618,173941,82864,41340,120490,55724,140656,181534
354378,288286,2029121,1737739,102849,849459,168953,235261,966095,1252611,90469,440074,461966,259488,467916,223928,33957,23009,26586,214838,122689,174833,84253,42885,122815,56371,140566,185272
357076,287385,2051506,1725611,105349,825342,164761,233324,975875,1223528,88998,477061,516338,287759,470096,224616,34180,23278,27455,213338,121253,177539,85189,42784,122098,56161,142094,178071
352781,272214,2021127,1701674,104964,840790,170862,236120,979009,1172651,86748,458751,519730,291037,466981,232221,34238,23731,27729,211057,124922,175019,85157,43566,121845,57529,141528,168707
347033,272202,1908514,1653032,100206,858311,172953,231554,962613,1153848,83046,454233,502907,289977,465607,222880,33666,23968,27058,208033,122776,181194,83311,43302,125741,60717,148376,181495
319588,252291,1724641,1432765,109114,726702,129561,198096,801644,1054575,76087,460452,498839,276826,423568,191426,30671,22945,26999,186307,111534,169897,75739,38545,112277,50781,130005,167846
310770,256945,1759487,1351154,101776,649932,110229,188395,694347,1051732,69825,425955,464101,270935,382400,179382,29282,21749,26589,188295,106356,158370,72896,37770,112637,51866,127528,145166
350768,282130,1915493,1701288,103613,773248,146905,227859,920831,1159663,82186,478352,490287,285414,448478,206589,32860,23334,26913,211705,118777,172314,82413,41588,116760,55151,137948,146911
347215,272430,1842924,1693698,106093,803825,147356,225922,965790,1195125,81949,482823,509557,281036,463877,204996,33534,23499,26411,212948,122270,176148,85201,43111,109287,55258,132061,144290
348487,277116,1906327,1700744,107217,763557,135198,228119,957457,1146241,78835,496867,510359,276909,467637,203659,34026,24106,27311,214269,123984,180651,85163,43196,112833,57995,138163,150260
347917,269904,1856380,1682531,104783,756228,136583,230642,985191,1149242,81073,488804,499018,279978,471879,208891,33892,23527,27976,215219,123056,179469,84709,43751,115220,57508,142308,149843
340448,267775,1836794,1626083,102264,749546,135555,226455,950661,1071131,80566,461211,495269,291898,473911,209056,33484,23640,27824,209775,123537,184192,84224,42381,122643,57536,143210,169452
313461,245773,1653231,1429265,90509,715971,118079,193154,806006,1017859,74073,417806,425622,272377,423067,178199,30492,22028,26542,178687,113180,169008,80495,38226,111342,49608,131457,164342
295551,238189,1615443,1322314,84954,660875,112437,185011,709505,933155,67740,423340,425923,256067,384498,171672,29280,21084,23412,178372,108987,157546,76338,36142,110040,47403,128755,149229
345307,267534,1672510,1648685,98604,786249,139524,227465,956399,1048408,78809,430350,451746,281302,461792,176775,32942,22457,26735,211627,124838,174144,85062,41876,114432,54944,134463,158757
347050,273325,1693977,1656845,96561,812020,146324,219257,983639,1075015,80231,421585,431238,268132,461463,190444,32574,21113,25655,206456,123734,175667,84919,42376,113062,55438,135345,151557
341756,263722,1642281,1630177,98641,813701,146161,214153,973725,1064190,80338,419009,440929,272512,459932,194554,32807,22106,26015,200134,122370,179148,82799,41448,110633,51992,130970,141103
335793,254185,1647204,1586507,97862,814855,145380,210014,958735,1030964,80024,428968,445642,286866,445100,190604,33000,22509,27084,194995,121413,173276,81879,41516,108657,49002,124292,140759
327051,255005,1659222,1548994,97748,790706,150300,202396,948915,1032890,80070,437350,456760,283206,446946,188400,32967,23459,26695,188692,118673,169319,79384,40187,104698,47269,121452,146900
294745,231965,1476210,1325160,77194,715236,134849,179500,793516,965685,71196,372769,391637,269117,399958,173191,29268,21203,24791,160922,108473,160195,75621,36668,102484,45571,117363,141815
269342,210542,1345686,1223085,79424,657541,121639,167500,692276,881962,68992,385486,393900,261755,360078,167125,28329,20455,23902,161807,101741,145516,71317,33856,99260,42907,109362,132428
316443,238943,1482048,1505214,101299,756016,133096,202925,912324,1039173,76099,435681,458762,283080,444707,188507,28005,21952,27114,190414,116253,169721,77931,38347,102860,46910,105224,143792
329636,257994,1580478,1608027,102749,771622,116468,211722,938697,1012207,80788,445646,495960,289077,467526,200715,33181,22548,27055,201867,121567,170193,83116,39731,98463,46917,110522,136545
333190,260232,1561374,1623704,99923,764957,134789,219020,950560,1069716,83239,398072,443470,273825,462993,195619,33752,23278,27261,205813,123111,176857,84424,40601,109154,49736,130492,143703
332642,257656,1531883,1608049,101763,764572,139927,210465,955322,1072319,78849,410663,443470,267969,457323,190760,33318,22372,26264,197241,121271,176317,82465,40138,109923,48724,124351,160052
335613,258694,1529772,1582604,98338,762462,145848,210249,944466,1003687,75547,385273,420939,282915,451362,186156,31949,21706,26459,196989,119052,169983,81819,39624,105528,49000,122732,153286
292178,226524,1331635,1329236,81065,693926,130696,183431,797123,871145,73042,351859,367050,247438,404260,168864,28665,19248,23303,170608,107535,156042,74406,36902,96762,47399,121176,143953
278078,220657,1375290,1227207,79292,663101,127564,170915,689015,941394,72241,364829,374545,238708,359490,164146,27727,18711,22462,165773,102659,143155,71185,34644,94767,45307,115356,137745
330618,258322,1745007,1604977,100635,831118,155167,213153,919633,1009955,79791,409617,434330,258321,440668,203485,32151,21694,23338,195174,117877,165912,78871,38997,101873,50150,122119,135828
329960,257251,1606810,1609274,99430,818953,148443,215168,961034,1031102,82097,425698,458241,287114,451835,201397,32845,22691,23550,198689,119372,166537,81698,40036,101455,51366,117663,146934
327878,254290,1513754,1576693,97409,815945,150394,214778,958165,1126702,84266,394449,449790,280460,456188,190041,33415,23682,26406,193211,120621,172446,82195,40325,103506,50440,123043,147814
334988,259132,1572914,1581584,98456,803834,148618,210031,943277,1073342,79226,414012,416374,255628,450467,185581,32506,23188,25974,192246,121091,170166,82035,39539,102450,49486,124486,162186
324070,248974,1474239,1568576,94849,761227,142525,203001,942397,989662,80152,416601,420381,250836,442467,193919,31424,22231,24838,190853,117867,164914,79654,38765,100990,48540,120555,167339
297082,235066,1423290,1352818,83952,678272,128737,176331,772800,1055942,80640,428693,405961,243830,399886,166609,28318,19541,22296,168097,105969,151988,72571,35850,89868,44648,113826,147517
287983,238649,1520694,1309356,95269,651308,129226,179796,676395,954639,71816,461302,455183,249363,371408,182125,28057,18976,22502,175906,105630,138904,71650,34483,85419,43895,115559,129884
323120,252591,1571446,1592413,99102,770081,147155,220817,909407,992444,75863,460389,491533,281120,445895,210690,32827,22475,26211,201102,119262,165539,80783,41005,90920,52855,129305,143235
322975,253271,1403463,1565349,97756,752324,141563,209425,925917,953512,78788,448257,470525,278857,449561,191189,32674,23219,26671,192047,116512,163936,79442,39160,88014,47559,116254,143905
