NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
292467,210703,1556073,1170710,92694,578629,111416,175029,632214,1019288,70998,473592,461015,254082,344699,170765,27211,19103,23523,163429,96521,144119,66929,31191,88687,40617,156689,117336
328015,244574,1720765,1392108,96407,706866,136122,201807,762106,985103,73619,468065,489230,279589,410901,188028,30954,21111,24680,175735,103329,146413,72777,34698,104754,51888,139005,139823
320055,237188,1738334,1346724,96678,700615,136435,191077,724243,989638,72067,461658,489023,276600,410270,192067,29723,21430,26393,176136,102999,151116,70462,35177,114175,51820,138376,176415
304240,234492,1572253,1276541,96243,675046,125368,182483,671845,935563,69075,427006,460386,256146,380956,180135,29549,21777,25402,181635,102714,148149,68716,34599,119553,50685,135463,184917
349621,263650,1651294,1504954,100761,720844,147366,203619,758196,1125982,81196,467759,479906,278847,422660,202438,34075,23733,27452,206937,115189,168850,75193,40202,121483,53048,142950,191315
351907,272982,1692687,1503216,102885,630858,153558,184424,691679,1079842,80923,457442,471781,281296,382904,207955,35542,24474,28639,207077,120241,175411,73122,41671,119555,48661,139926,162283
350029,271623,1754462,1656541,102512,793580,160250,225399,912067,1160046,85325,425396,480397,283599,478092,211401,36431,24243,29270,213754,129193,184860,85766,42953,116488,54614,131585,167692
358798,286551,1819420,1691239,104339,835108,167656,235065,942770,1159964,83187,435807,475119,266367,476436,220231,35360,23837,28199,216564,125721,189848,85896,43680,119008,56798,141996,178357
357470,284606,1869928,1679149,103166,848388,167145,234243,939624,1140032,85426,403226,450058,270448,482163,220458,34182,23388,27020,215384,118743,185979,83844,43154,128847,58892,149251,187339
319868,255391,1687957,1476186,92789,759702,147207,208982,786034,926466,70653,394512,413880,252310,436435,195225,30367,21195,23724,192514,117066,173250,76071,40135,126285,55392,145653,189941
295873,235873,1521141,1328573,89371,700378,145412,191742,690952,879214,70272,370236,385180,270359,387954,181345,29236,20474,24511,184565,107043,157050,71834,38338,119731,52822,135856,168873
357372,287621,1824673,1683612,105744,826770,162643,228244,917327,1129291,83050,415284,465277,299092,468653,211903,33179,23936,27700,210535,116413,172283,83156,41883,121204,55538,140676,164517
360525,285015,1850378,1708943,102681,843294,167978,230576,961088,1172638,78123,426534,471467,287735,477551,217645,33554,24362,28376,211574,119334,172965,83754,42913,119826,56022,145642,161093
357152,282351,1809610,1687975,104113,833999,162189,233051,970954,1105513,83844,430277,491726,288937,475564,218132,33544,24520,27913,213902,119379,175139,83825,43444,122594,57655,145426,168530
354340,276292,1784451,1694197,106656,845322,166926,232199,975527,1035349,80363,415308,468899,287956,470336,215540,33179,23921,27568,209959,117567,178680,84211,43351,122061,57140,144598,181318
336583,249676,1578761,1603152,99796,823052,154427,220020,965931,996857,77821,428128,456704,299415,459665,204021,32657,22384,27423,198869,119991,174706,84167,42756,117370,54892,142557,175436
