NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
296406,218270,1774092,1190620,98743,622254,134577,180328,642704,1052256,69888,415562,432599,253636,346600,176385,27007,19601,24708,170810,94340,145752,64412,31599,88876,44290,156953,118774
333875,259461,2044724,1429852,94833,768265,150676,206688,767913,1121052,72632,422591,469804,264184,402528,204087,30745,21343,24686,176936,98979,147101,71200,34859,107457,54620,140385,147336
329336,247904,1915517,1375352,109151,756885,141320,197061,743345,1162189,71388,422882,475917,254655,411776,207765,29578,21593,24377,184612,100999,152960,68338,35707,114872,54323,138448,169510
312483,242100,1741430,1300282,106805,714947,127874,187407,683557,1035609,70836,438906,470901,243695,381268,193246,29531,21414,24270,188007,101661,148351,67206,34984,120051,52024,135492,184813
351560,265584,1775424,1528194,99581,743866,148350,206154,760852,1148190,81900,458245,478274,279806,417529,208945,33990,23739,27545,207075,114844,168730,74639,40254,121523,53772,142868,188239
343365,256956,1655646,1454263,102489,645084,155992,178393,690141,1115855,81337,440464,422831,271449,380659,196278,35436,24471,28436,204684,119865,175170,73350,41615,119518,48912,139520,169579
347794,258266,1638434,1584020,102467,801345,156483,211011,904051,1172417,86542,431653,475587,279194,482935,191472,36090,23919,28524,205962,131400,184301,86773,42510,114721,51998,127688,172560
357140,279649,1761517,1637603,104516,824027,159801,221966,933964,1205007,85515,433934,470638,271875,479841,200901,35311,23932,28651,210639,129278,188480,86990,43249,115494,54474,140473,165079
355282,280692,1752594,1647012,103244,827417,161624,225650,933913,1132948,85803,402944,446830,265915,482185,205170,34376,23836,27289,213102,122861,184688,84643,42721,125921,55723,145152,187928
310857,238502,1488492,1394822,91608,745079,142770,196709,779181,940289,73648,403467,406749,239723,433072,178183,30600,21967,23748,181217,118644,171381,76957,39382,124817,52456,144627,189805
289705,218269,1205982,1228009,91538,693687,130001,173269,681277,958688,79698,387124,382918,241352,376833,160631,29255,20631,23153,163371,108374,151523,73225,36833,114392,47603,131019,166101
353543,273209,1562330,1621877,107250,810437,147710,208349,905605,1189148,85752,442558,468023,272399,460956,189918,33023,22311,26600,193997,119724,165124,81903,40385,110691,49021,126594,155712
356080,274472,1644214,1652435,103136,812465,155322,218238,951349,1105327,80347,427674,462679,264062,474513,200336,33622,22484,27178,203009,121746,167226,83284,41901,108294,51644,135452,150558
351916,266077,1612561,1629906,103556,815039,154769,215605,958037,1121559,85965,439514,471830,268234,464020,200736,33002,22685,26962,199434,122289,169804,82850,41937,110093,51861,131640,156427
354309,274129,1648772,1662487,107071,834453,158542,219556,965721,1057843,82885,439345,470310,270408,468265,202371,32872,22405,26686,203090,121183,172476,83831,42157,109688,52030,134562,160578
336474,250094,1544141,1573088,100384,816382,150185,214851,964065,989337,76356,428366,444095,275275,452555,199229,32745,22179,26782,189923,121037,169398,82816,41863,108166,51926,131935,161803
299850,227664,1361122,1344344,83339,717913,131072,193899,792201,946144,74574,389068,386825,257203,410272,174951,29024,19526,23495,169771,111560,159032,76457,38117,101600,48840,131766,152460
295333,225083,1389333,1260003,84185,689193,132635,173838,684585,945785,69295,383082,387749,237591,373782,165034,28695,19016,22851,168755,106156,147974,73398,34834,104652,46884,130952,145524
343362,254343,1561502,1597630,102220,800074,146909,218422,912076,1061311,79912,452493,461092,267506,455970,199846,33752,22106,25897,200931,120273,166095,82323,39930,111560,52180,138248,159238
337394,248613,1506900,1595214,104080,804671,150547,219557,955011,1037132,82089,439839,458909,284237,461783,197790,33908,22667,26715,196154,122055,170100,82651,41463,113745,52654,135207,163056
338838,246354,1488216,1586035,103616,815144,156608,218257,970584,1093169,81210,425437,439998,275391,455973,200513,33636,22825,26402,194809,121545,167956,81749,41838,111562,52179,132919,161435
340672,246414,1460843,1579706,103844,820356,163357,212313,969093,1090028,84114,441665,434405,282790,450740,198364,32829,22232,26751,191376,121926,165102,81206,41710,107818,52136,126587,154115
