NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
287906,208316,1603812,1155722,91657,578053,109197,173322,630402,1029826,74395,433756,441434,266103,342855,175641,26994,18830,23798,162493,95410,143613,66284,30866,81031,40199,155850,113117
327618,247450,1878516,1391422,95997,722826,130818,201968,762656,1095398,80351,461296,488130,283688,410117,198980,30879,20715,24711,176011,101819,145524,72160,34498,94670,50797,136659,122773
319092,237783,1862826,1362261,105671,734081,129231,194019,731628,1122327,78918,466243,505176,276597,411669,206424,29745,21362,26306,181321,101620,150127,68991,35284,104725,52046,138297,147835
306597,238597,1712151,1292231,97534,685174,119366,186317,678646,1022583,73612,458633,489653,262844,381258,189442,29689,21575,24864,187262,101886,147589,67460,34735,114600,50807,135432,169054
355802,273290,1774974,1551604,100030,701503,141348,206724,760557,1202776,85700,478769,487554,292480,417481,210365,34043,23641,27715,207114,114989,168698,74613,40195,115388,51858,140629,151780
350706,266602,1562848,1476445,102312,600673,145721,181639,688285,1227689,85617,490599,482544,294757,383100,199481,35456,24813,29056,206265,122148,175111,73790,41282,112000,43759,132777,124363
351067,264257,1491826,1587506,102525,750546,147685,212477,901878,1216312,91757,476024,509040,293721,481937,189930,36391,24830,29711,206647,133993,183236,86675,41873,105893,46682,116832,138337
354585,270960,1576991,1616845,104767,787574,154828,221295,930592,1191642,89862,482500,507118,279807,477807,196936,35077,24170,28890,208255,130661,184720,86611,42229,104600,48352,124037,145034
361868,288814,1782030,1645631,103819,812425,163174,222556,932250,1250770,89639,429088,465535,267058,480115,203080,34152,23448,27129,209023,123837,178331,84325,41567,112164,50449,130164,152351
330959,263638,1713608,1484564,101368,743685,139049,199436,775924,1025062,73360,413134,434185,241613,437663,186591,30628,21566,23898,187064,118238,164321,76973,38486,109412,49023,135350,152346
306559,238807,1430597,1326918,106190,663020,127598,181326,682318,994240,74349,397295,434075,249499,390331,176081,30126,21484,24501,176532,108420,148486,73206,36887,104555,46922,126758,141602
355387,272474,1595908,1653511,107693,785344,151053,218759,913542,1127910,79307,477470,511373,289031,470521,201341,33599,23173,27555,207611,120247,167300,82575,40915,107125,50939,128823,144620
