NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
293321,219503,1619286,1174635,93561,573045,109836,175449,629954,1060072,73814,471687,463214,260668,346228,175381,27164,19147,23366,166603,94751,144276,64910,30949,82344,40771,156462,114237
329576,253518,1924704,1401962,96290,697212,129559,204203,762727,1080244,77036,465100,485249,283472,409163,199880,30817,21336,24704,176139,101181,146732,72231,34775,99512,52925,138658,125714
321449,244748,1889035,1359916,94054,701622,126737,195546,731812,1140420,78613,448507,482816,275585,411544,206395,29764,21590,26433,182262,101714,152171,68867,35458,110340,53452,138626,147328
300360,232936,1747943,1268724,99509,694122,132609,185677,678635,1103727,74489,482886,508565,262383,380644,190922,29554,21757,25416,180772,102067,148114,68126,34839,114532,51914,135529,155556
355492,272036,1975354,1537398,99576,765104,163760,205972,760642,1300264,86857,480626,511592,290181,417271,220559,33954,23790,27477,206197,115303,168622,75547,40145,118430,53075,142110,151643
359675,293992,2167945,1550339,102726,685563,176104,186329,695757,1324954,89262,482370,473397,280959,383698,227489,35429,24843,28588,207210,120411,175362,72993,41689,115070,48835,139108,132846
355864,287430,2188795,1687714,102642,929551,189341,226111,909985,1290558,93001,478969,527184,298525,474934,224563,36452,24993,29650,213779,129456,184964,85788,42855,112043,53624,129913,142429
368115,308184,2136705,1738927,104712,965422,203648,236356,944011,1247629,88372,444349,502796,286731,472617,230655,35493,24792,29068,216570,126656,190127,85989,43679,114300,56895,141665,149457
370637,315579,2023946,1745178,103329,923719,198674,236757,947327,1296200,89948,404799,448496,279964,476734,230751,34510,24038,27334,216252,119569,186051,83876,43322,129097,59575,148488,173011
341067,275601,1739200,1527777,97289,796982,177315,213635,795379,1103173,72911,406915,423994,252455,442315,202112,30944,23002,25098,205575,116785,173350,74990,40496,125016,57713,145677,178658
314208,252315,1652167,1383604,97268,725362,160318,195477,696659,952114,70080,352851,395020,241429,394661,190486,30058,21750,23329,194782,106660,158287,70951,38625,120542,55054,136047,174498
358776,289089,1892563,1728569,107226,862966,168257,231049,919760,1107308,80713,406110,441557,261089,464320,214904,34236,23212,26266,214105,115614,173319,82067,42096,121432,57456,141258,173866
360988,284309,1916340,1717080,103126,878639,168861,232627,962490,1110718,79880,431588,458824,254307,471792,220965,34522,23822,27193,212676,117147,173530,82707,43030,115916,57233,144114,156378
356433,279777,1914362,1711028,103873,873549,169943,232342,967578,1179357,84800,466201,483774,266655,472622,225373,34287,24026,26618,215386,120918,172871,84041,43461,110243,55826,136493,149318
364711,294459,1999582,1722072,108116,875111,170344,231777,972061,1137515,82188,484774,525879,283547,470332,223666,33709,23284,26763,210446,120984,173373,84482,43079,106987,55402,136575,152626
352822,277030,1808429,1686574,102536,831364,161717,231263,969758,1061137,79139,477799,528117,300312,466714,221996,33947,22901,28261,206306,120225,172627,84415,43086,108964,56461,140014,156717
309380,237201,1496119,1410890,95222,722224,139045,209946,797615,926948,72616,439406,468869,281481,430711,189528,30382,20631,26334,191634,110910,169640,75375,39324,111562,54318,142174,165313
296926,227644,1410569,1280922,88771,694863,129727,183140,686161,956393,71714,418410,437444,264186,385945,168183,29621,20074,25132,180321,105492,157294,72567,35113,112016,47005,135040,154124
345962,257806,1558084,1604269,102826,774304,146064,222088,909374,1119439,85097,451954,467326,272698,458523,199523,34448,23400,26931,203086,120255,169475,82682,39720,110619,49780,131672,155840
350073,269252,1746069,1651911,105414,844316,170362,222112,947021,1170357,88334,451546,466895,283815,469603,207482,34639,23647,27113,204145,121953,170644,83595,40401,107929,49534,126355,153203
351373,269980,1814294,1667138,105216,877932,166689,225171,967274,1203403,83867,438535,477708,286912,467861,215028,34577,23622,27392,205460,122454,168724,83353,41532,105946,49606,127393,146107
351210,266905,1684494,1675294,105669,823121,157114,229194,972829,1106359,84302,456736,481079,293084,469869,217927,33823,22869,27565,210377,122478,165709,84134,41968,102177,52552,122890,142849
349285,258518,1553920,1631539,104615,746421,147917,224497,960139,1171499,88370,474837,457245,291497,469061,200148,33940,23042,27123,204517,122749,172058,83489,42176,103969,52836,129181,149641
313733,251233,1654934,1418297,89987,718522,132728,196918,779713,1064137,77777,437465,426825,278390,420704,184598,30418,20716,24096,176385,112780,159438,77573,38422,100864,46955,124484,142325
306349,241813,1613144,1329334,90015,690716,133555,185112,683002,1004620,76528,412464,408892,262017,383545,176951,29502,19462,22975,180674,107572,141877,74946,35645,94886,45249,121240,127034
354780,275903,1815608,1681167,104201,841211,155572,225069,925566,1158988,81431,477039,485190,276803,462060,214411,33503,22276,26274,208021,121479,165707,83227,40673,101358,49769,126394,143544
355444,277992,1806948,1701333,102984,842434,150722,229497,957668,1170163,82896,458001,483110,271932,473493,216617,33590,22539,26586,212085,125625,166032,84560,42295,102092,49876,124265,146028
360869,284747,1928207,1713103,105264,804729,146894,228664,970792,1119883,82828,455236,497401,278960,473202,222219,34008,22388,26729,211345,125065,169354,85273,42369,103215,51151,130633,150130
357642,281222,1970779,1706544,104463,809384,157369,233930,973531,1144733,81173,455465,501151,284693,470227,228122,34267,22746,27427,210481,126781,168424,85444,43357,107852,54060,133142,151066
353019,278035,1837107,1658298,100697,829809,166620,230784,959558,1136471,79889,451248,484056,288256,468240,219312,33733,23111,26937,207593,125047,176682,83866,43356,113833,58017,142107,161183
319391,254289,1674085,1415344,91788,734230,141028,198084,804993,1030423,74116,431831,471409,276826,421713,194002,30766,22893,26999,180930,112487,165878,76742,39058,107641,50838,129938,170703
307744,252891,1680440,1331499,96926,671749,121046,185456,693133,1077114,72667,452201,474109,267737,381130,180325,29190,21749,26589,179280,108095,152938,74856,37416,105831,47164,122548,148429
350989,277788,1783479,1653874,103648,806909,164340,220944,909874,1225893,92403,474845,497637,281027,452894,194044,32848,23392,26980,207234,122162,169284,83196,41250,107226,49251,127229,141733
348388,276007,1821163,1650428,106175,849676,163567,217257,954491,1231374,89659,481381,494770,275489,465576,188505,33427,23552,26482,206765,124790,172108,85387,42652,99618,50180,122694,135813
351904,281799,1769688,1654317,107471,774191,145980,221133,947747,1217135,85849,497106,489834,273338,468719,189278,34015,24027,27317,209810,126094,172998,85264,42483,99311,52426,118931,144409
349696,263890,1620508,1636560,105375,762723,150842,223031,968654,1241188,91182,490883,484653,278863,471748,191090,34196,23808,28081,211664,125186,170393,84854,42498,101732,49998,121741,145159
341847,264581,1715910,1599269,102864,792852,156943,215933,932587,1210501,89047,491260,485643,291323,471966,192505,33461,23515,28113,207207,124063,173311,83709,40855,103233,48883,120928,145270
316493,245586,1715382,1409941,95654,767654,133595,182205,793673,1171323,82128,481986,444740,268983,414992,173597,30212,20226,24366,169289,110401,155440,79643,36713,90147,41826,111634,128543
301596,240887,1708228,1328177,91971,689242,117394,182695,706438,1091062,75164,487977,447275,245336,380907,173137,28890,19151,22399,176768,107286,143965,75517,35597,88641,41925,110820,115904
