NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
284771,206784,1619005,1145069,82851,605616,119537,174114,637946,869433,68200,382942,378236,233345,339826,175742,26729,17750,20995,152875,95618,145407,66568,31365,91748,44369,156866,146760
317466,228949,1668098,1340368,93855,721019,137647,193623,756719,942817,73979,399772,402647,251223,407187,178086,29946,19561,22923,171146,103148,146069,72433,34402,105214,51337,138169,154972
310883,232496,1540035,1303675,87656,700571,133334,182596,706265,996983,72719,407693,407138,248460,401633,179640,29014,19211,22959,165646,103026,145972,70943,34819,104343,48248,134723,157424
294711,225847,1428094,1235239,86205,665595,130213,176975,647486,1015107,70873,418956,423481,252805,373667,174212,29250,19860,23606,169426,103565,143143,69702,33671,107896,45265,131176,148261
349183,264636,1735048,1493867,99693,717458,156463,201065,751538,1134723,81322,454514,469069,292444,425714,205805,33919,23464,27648,202721,119064,167102,75819,39594,115466,49077,138442,167954
350647,275709,1822157,1496987,102364,639974,160122,183191,679679,1125052,82022,438441,452018,295791,383305,207588,35433,24846,28893,205569,122380,175325,74093,41196,118135,45900,137719,158402
349151,273954,1793690,1617521,101546,805368,165178,222969,904877,1129790,84429,431388,473629,291148,478571,209760,36447,24997,29653,212992,129029,185291,85567,42616,117808,52847,131702,178184
354052,275442,1726960,1635137,103202,830624,167027,227159,933361,1111620,83487,423872,457673,272857,480092,205376,35521,24704,28949,212218,127336,190419,86461,43072,120544,53219,140865,181682
349099,269191,1633377,1610743,102150,820815,164262,218885,928783,1072281,82895,444372,461602,272038,477163,200945,34356,23988,27085,204463,123680,184283,83939,42261,123413,52644,138303,175192
312195,240098,1391794,1371859,90066,727579,143541,184218,765675,956275,75245,429002,434382,262583,426458,170037,30616,21889,24405,172336,116123,163696,75598,38407,111195,48352,132984,158595
297643,232364,1397083,1300470,91875,675282,134441,180227,673608,960536,73578,425110,438198,272328,385231,173108,29468,20577,24228,174113,107669,147332,73153,36826,101977,46957,125201,140258
347494,266782,1659880,1630084,105578,806090,157341,219388,908826,1096798,82165,456639,494999,299057,467619,206300,33575,23289,28044,204890,120170,169404,82499,41171,112322,51820,132800,158768
351955,267603,1652304,1622086,102100,815960,162702,219997,951686,1126379,84872,442432,468474,283287,469165,203199,33327,22587,27277,200859,121768,171007,83192,41646,112302,50793,134539,165205
354301,271730,1656376,1642050,103637,815207,159876,221421,958000,1144297,88053,449039,477586,273398,467922,205133,33120,22691,26841,203144,122529,172786,83859,41887,111981,51309,133403,159403
353032,271184,1654804,1651039,106994,814532,162159,223177,961952,1112656,86710,441677,479131,268643,468128,204852,33268,22742,26696,204443,121340,174608,83759,42114,111410,50528,132354,159500
345783,265230,1649568,1612828,100976,815753,161198,217675,953756,1145312,84684,429112,446535,272309,461429,203687,33331,22660,26956,199767,121032,172369,83509,41050,109962,49279,130294,157595
311762,242678,1577356,1395920,87254,739580,146442,194208,780149,1073944,78089,412690,413329,250271,419272,188391,29956,20223,23606,174200,110048,164170,76273,36833,105504,46001,127471,151161
302455,235131,1574778,1305958,87279,707792,138243,181026,682521,1055249,75533,418247,417561,244252,378856,180404,29266,19479,23143,172703,104896,149062,73359,34474,105582,43710,122628,143904
350163,271769,1799590,1643274,102860,840935,160720,225338,912368,1212759,87032,467991,476601,271351,458574,212271,34489,23042,26398,203984,120365,164934,82374,39934,107035,50138,126471,151891
353255,276999,1855000,1679195,105739,864647,164846,230184,955919,1235810,87484,469917,485781,290813,470194,212475,34654,23491,27095,205819,122086,168605,83489,41676,105537,50801,122257,149503
355057,277887,1872805,1681680,105239,867707,167883,227642,969234,1241475,86403,468348,488007,298821,468947,215013,34822,24010,27681,206679,122307,168627,83092,42162,105079,50966,124711,145980
357489,282501,1879160,1686660,105655,861220,166537,224412,968452,1232161,86095,482171,492352,307890,469827,214995,34306,23825,28355,205965,121874,168509,83463,41693,105003,50743,124242,144860
