NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
289448,216640,1766327,1186016,89028,580439,106369,179500,647146,1057828,74557,435057,459816,267121,345684,183281,27083,19600,24792,167755,94709,145590,64730,31365,88844,43937,156982,130963
328924,258989,1940466,1418434,95480,702744,125277,203866,766779,1103156,73127,465444,494941,283688,408020,201451,30851,21343,24382,175566,103135,146794,72492,34623,106991,52604,138501,167376
326000,245865,1840005,1373953,105409,694014,124941,196768,734330,1110529,70910,460573,484991,267404,411776,204657,29578,21668,26216,184612,100907,152928,68243,35487,115101,53823,138501,187300
312327,241838,1631727,1300801,101748,674950,127253,187083,682628,1096016,68780,447256,460012,242649,381268,188589,29630,21718,23320,188211,101332,148624,66952,34913,120855,52166,135392,184917
353836,272131,1794071,1553799,100519,725935,150137,206592,761101,1174901,81752,472849,490827,274951,417995,214806,34109,23456,27110,207102,114027,168858,74414,40120,121563,53986,142995,194725
351091,275850,1928625,1531363,102623,649477,158717,184885,692729,1163895,79264,462760,466127,288564,381234,220791,35538,24138,28635,207089,120211,175457,73152,41408,119905,48427,139509,173345
352071,275637,1978720,1641116,102702,830759,163532,224208,912221,1186560,84826,444160,484714,296498,483667,217536,36482,24997,29618,211846,131292,184772,86672,42677,116385,54184,130979,169104
363564,298218,2041129,1707860,104622,860439,168974,233515,943567,1224760,84385,447300,487909,274310,480702,224926,35537,24795,28934,214868,129191,190134,86794,43453,117742,56435,140616,173229
365961,304225,1996975,1736477,103791,843806,165673,233641,943641,1251461,88025,436745,473894,262740,481612,225983,34422,23840,27365,215743,122005,185513,84163,43005,129064,58216,147554,196581
333668,265884,1721665,1526237,97741,748538,146388,211778,789011,1046008,74144,411718,423085,242463,443075,201657,30767,21933,24312,206039,118347,172571,75645,39997,124790,55023,145302,194915
307140,242809,1538616,1371688,102884,691547,135675,194693,693921,1001110,70847,395896,411303,242474,394972,188888,30053,20957,23726,194883,107762,157320,71377,38246,118824,52861,135795,173698
359008,289144,1810179,1706298,107715,821808,152971,229945,919792,1159883,79083,439856,479842,276312,466161,215538,34218,23396,27105,213838,116654,173369,82309,41819,120133,56334,140958,167836
364366,292495,1865566,1726669,103716,829800,158106,232460,964850,1059124,75073,412890,469518,266017,474570,220312,34510,23709,27773,212098,118033,175012,82948,42988,121943,57759,146791,167242
357980,283683,1822016,1740952,104298,821031,157835,235157,976238,1051065,83220,414724,470235,260226,468520,231647,34302,23716,27004,215294,118352,177226,83046,43508,125052,59083,146000,177147
362596,290879,1874825,1768004,108195,846281,163728,234971,981915,1132061,83858,416195,479820,265266,463138,232188,33775,23293,26635,211795,117403,179964,83365,43438,124314,57904,144685,182160
348037,270165,1789777,1713275,102539,832880,157615,234497,977426,1088117,77144,424308,478039,277580,460483,224480,33962,23301,27947,208297,117676,176650,83604,43357,120215,58534,143800,171472
310859,243318,1584730,1438569,89144,727218,133159,213841,812675,941306,71678,394455,424003,263437,430868,195801,30369,21217,24736,197382,110532,171593,74583,39718,112271,56128,143207,158916
299083,233168,1527306,1323609,86006,696994,133886,190329,703944,953064,67334,385334,405121,257089,386717,181995,29613,20765,23852,191158,104532,158639,71386,36217,112300,52605,140416,152941
342484,254233,1627949,1619775,102471,803405,144447,227005,919623,1056642,79681,448765,462957,262968,456137,209323,34517,23454,26463,206497,117742,172274,82441,40728,117534,56095,145309,174784
341509,253877,1575112,1636702,104820,809771,151647,226095,960316,1036530,80257,456601,472521,287072,469367,202160,34308,23429,26291,203345,121768,174842,83985,42138,119258,55623,141297,174107
338111,248519,1592558,1608595,103347,808375,154147,220439,970841,1052159,79939,471054,473003,298833,467209,198623,34591,23339,27332,202817,122410,172595,83343,42260,117071,53352,139289,169114
344277,256475,1555866,1632496,104200,814278,159454,223296,971268,1075736,82933,463615,463859,306957,467965,205447,33781,23050,27607,206003,122487,169906,84237,41926,114740,53135,134002,158386
344623,253503,1542122,1602502,103291,768433,149006,220362,956142,1046922,82932,492100,466375,298991,467422,199940,33544,22612,26704,201689,122611,175425,83571,41889,114899,52158,134579,156049
302783,233437,1429245,1358199,84830,725052,128460,189948,775538,971326,74859,489218,447969,284222,418984,173909,30384,20108,23946,170687,111880,162423,77560,37779,107828,45587,125739,150806
298231,232448,1403802,1297798,91466,675109,118883,177968,676237,1000652,71668,454347,468899,266591,381327,164938,29584,19159,23130,173479,106675,144258,74757,35226,101739,43571,120519,133589
338184,250133,1505393,1582251,103066,787641,140743,215345,921254,1063921,78964,489831,517017,286451,457305,194183,33464,22515,27398,199367,121868,167873,83010,40053,107733,48680,126862,149933
338131,244401,1410398,1586971,102229,810685,143745,214889,946871,1078308,80524,462178,498399,281712,464327,189108,33064,22352,27406,199786,124923,166024,83747,41548,108761,48427,122779,153505
341267,250301,1502568,1582049,103191,797331,147555,207636,955239,1024603,79954,451029,480946,288175,460669,190537,33776,23337,27534,192919,122412,168542,82870,41266,106209,47790,121880,148472
340900,253348,1616620,1597630,103921,817209,158318,216531,963277,1011222,79551,448275,480441,289711,455095,206192,33256,22236,27140,195770,124258,163974,82463,42117,104712,49608,119333,146279
335081,245710,1500667,1543607,99188,830290,161137,212099,949082,1003324,79989,452897,477372,289965,455297,190568,33366,23078,27193,192014,123970,171042,81850,42244,106561,53878,130586,150061
297315,227351,1376491,1310194,78855,718935,128648,177373,788634,903376,71762,416663,418640,276810,404167,172038,30325,22491,26651,161663,110443,157922,76383,37552,98447,45630,116634,148895
279555,220723,1298269,1212533,77768,648363,110843,166824,676329,818013,63570,397882,400961,270935,365549,159015,28724,21102,26343,160675,106032,144422,74574,36032,98543,44427,116132,137596
330940,245303,1434371,1553405,99806,772702,149579,208683,907415,986030,77132,402677,400386,277919,441956,183271,31673,22633,26162,194234,121569,163329,81478,40128,104007,48576,126714,141634
333302,247736,1460120,1578630,103757,802963,150180,210491,955021,1044564,80483,401191,399903,253993,456172,181245,32362,21719,24998,201518,124697,166595,84778,42179,100065,51975,122356,144469
336863,250051,1500734,1582606,105385,759236,135248,214151,949747,1044689,76951,434380,415650,249714,460988,181716,32892,22659,26512,203097,126126,170705,85012,42114,106592,54428,126797,155734
334884,244082,1509445,1560791,102576,730456,136387,215927,974273,1066390,81294,430369,426206,251641,463975,182158,33116,22472,26777,205045,125429,172301,84695,42814,108120,53390,132864,152455
333480,252696,1621856,1552228,100903,751566,138559,214742,938513,1075126,81674,447147,425454,265532,465780,195707,32614,22670,26691,202498,124628,176499,84038,41387,106375,50480,124679,150484
305445,235184,1568270,1376356,86983,719283,117962,186132,796979,982111,70904,432209,401573,250765,414311,173088,29638,19859,23432,168603,112607,156728,80239,37151,92638,42699,114960,133186
281254,218287,1390574,1261947,81811,653044,113826,176876,699781,857317,66967,404997,388436,244742,375619,159703,28646,19112,22350,170878,107941,145751,75994,35382,91911,41514,117047,119717
334680,247080,1449769,1578531,97007,770604,141302,214973,944980,1032735,80383,436512,435555,264198,448837,164760,32218,21678,26131,200803,124744,166800,83397,40896,97639,48472,122415,130071
342029,258161,1508118,1630967,96487,802254,150578,215877,975858,1070796,79955,428785,432991,258271,454719,190145,31839,20746,25342,203004,123326,169040,84098,41808,96147,51656,124806,131622
333267,246089,1453390,1586251,97661,807857,149719,211989,973251,1030083,80023,441631,441495,265039,454063,194566,32430,22043,25738,196117,121527,175144,81910,41375,101392,50788,126751,137524
331659,239567,1443385,1550417,98724,808934,148580,204280,960410,1048787,81363,442003,446072,274132,438279,186464,32082,22118,26558,187610,119697,169055,80122,41379,101895,47755,117568,141101
330070,254383,1565956,1558256,98354,782400,153331,202690,954998,1122202,83229,444757,461858,275636,449508,185851,32576,22185,26391,193202,118903,164720,79827,40620,97544,48060,119656,145650
308230,241854,1597968,1393355,83999,738251,144711,189818,799936,1099952,76079,412021,410290,261882,411330,176306,29358,20046,24347,178585,110503,156089,77080,37440,93416,46875,118194,133392
286771,230227,1625185,1301760,84381,706834,139063,182555,698506,1006442,71541,384874,392616,245542,377005,173615,28194,19144,21888,179512,106067,151651,73450,35240,99942,45718,118853,127703
328973,263225,1808015,1571285,102925,826753,149582,218190,925495,1142908,77277,400391,436057,258383,460937,202073,28487,21319,26408,202143,119613,174145,81530,40048,107891,50370,118364,153335
335078,269030,1746711,1630748,102741,837920,130535,212328,948842,1098630,82744,434862,439871,259294,464518,202886,32548,21356,25830,201361,122274,172636,83086,40700,102274,47082,111431,146682
335445,265277,1703858,1650186,101288,830890,148006,218121,953757,1096121,85554,443983,459403,265637,462962,203250,33267,21891,26836,205840,123221,169040,84208,40331,99464,45645,112844,134279
334708,259423,1667648,1632192,103081,819457,154884,217842,963288,1077020,78949,469496,484664,269978,465565,202708,33694,22397,26577,203242,122347,174698,83570,40363,102430,49962,122761,139611
339665,259953,1621405,1600470,100390,805662,159366,213683,951644,1073686,77318,455080,497516,290664,456113,193849,32700,22296,27008,198344,120476,171211,82729,39873,105089,49576,123261,148293
306349,240953,1587203,1421006,94856,713983,132000,194653,805221,975155,69507,430821,460002,275968,415570,188264,29598,20304,26378,180651,109294,156245,75522,37243,96132,47975,123503,140447
278333,220662,1419194,1291960,84763,662444,126130,183537,703090,913531,72529,386866,416051,263670,376122,176113,28834,20330,25258,180554,106309,149552,72254,35800,97338,50099,128764,137662
