NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
301216,221190,1858204,1196804,101130,614068,132710,179993,628885,1062404,83406,473425,466948,262211,346600,175624,27007,19601,24060,170810,94215,145007,64412,31096,79805,40340,153513,113117
334623,262647,2056775,1430650,95075,752315,158213,205066,757073,1150599,85293,463661,494941,282485,402528,189034,30745,21343,24733,176936,98979,146404,71291,34709,90728,50194,130478,119564
329433,248308,1914018,1374634,109318,742686,154895,191070,707603,1183925,86284,485076,505209,266638,411776,188360,29578,21477,24911,183438,102243,152002,69539,35245,97691,47165,132441,134770
313222,242459,1758291,1298326,107255,733089,152189,179814,654958,1103033,86047,479691,508565,262214,381268,179770,29531,21709,24940,179677,103768,145417,69528,33879,100810,44066,129039,135003
358019,280244,2026595,1554469,99216,805194,176935,204957,752605,1303966,94026,482090,506187,292480,417271,211758,33982,23782,27548,206973,118438,165864,75635,39563,100565,47627,130530,130893
359745,293443,2131456,1550460,101746,705260,180130,186549,682055,1283332,89562,494508,510999,292125,383700,219041,35429,24846,28835,207202,119845,174637,72587,41382,103783,44288,133045,121671
361171,295397,2200470,1691047,101754,880055,168763,225725,906490,1359790,96302,477545,530157,292943,475158,214308,36559,24920,29507,213772,128772,185200,85701,42933,105149,51197,126391,136565
370775,312656,2132412,1742570,104495,845004,158854,233967,941135,1333292,99296,483071,544074,288312,472308,215091,35491,24530,29151,216559,125829,190189,85987,43694,111478,55774,140388,152234
371222,315213,2023797,1746956,102016,828505,156475,234025,939021,1301010,96494,454460,525186,283842,474404,215058,34673,24565,28061,216070,119597,185988,83958,43138,122928,55498,143270,160608
341592,275621,1739200,1529405,112454,747098,135623,212558,783721,1152090,75498,481753,514630,267094,443449,194814,30807,23395,26574,204757,117477,173315,75568,40063,114347,52171,142009,149794
319031,255589,1683983,1385019,110671,672472,128507,194009,688936,1086387,71583,459199,495447,273017,394993,189705,29933,22781,26830,192301,108117,157828,71861,37879,106680,50762,133001,136503
364016,299657,2011125,1744245,106442,801994,151293,231565,918558,1171066,80105,457218,520283,297756,463540,221785,34028,24276,27927,214064,116070,173428,82240,41941,110904,54837,136223,144484
364376,297197,2038348,1750247,103625,839320,160842,232264,962896,1132834,76119,427160,470959,274463,474640,222668,34325,24155,28176,212678,117532,174882,82768,42962,118829,56431,145376,154359
361487,295677,1979120,1736159,104259,846490,161831,233164,968586,1192594,84723,433091,469474,272405,474659,215562,33575,23026,27041,215329,118330,175780,83197,43422,118908,57595,143563,170802
368592,304391,1984587,1758332,108167,838582,166479,232453,970456,1220990,83538,439146,475388,263756,470767,211174,33335,23085,26832,211594,117061,178787,84105,43198,117274,56153,142544,174311
355592,282509,1811826,1711565,102399,788316,146813,231781,965002,1152977,78839,461291,491438,284308,462502,209641,33669,22358,27361,208235,116305,175528,83495,43197,113061,56892,142101,164849
316532,243797,1500851,1442608,98035,702175,128933,212208,794173,996586,70990,434590,461319,278331,430828,185574,30495,21096,25062,198429,109590,171383,74150,39566,110181,54262,142697,155324
301776,232436,1459821,1305773,90307,690836,132289,190473,690905,946561,67881,392694,430969,263151,386826,171330,29613,20855,24286,193470,103778,159159,70857,36043,112025,51051,139820,149889
350316,265037,1612820,1628809,102904,785726,152713,232567,914817,1130398,82409,453995,467960,269095,457040,202548,34306,23244,26091,209389,115019,173177,81456,40423,115190,53681,145026,160115
351128,271062,1680717,1663875,105733,789241,161784,230836,952997,1192073,85817,483559,503359,290817,466861,200564,34490,22947,26996,208716,117451,174640,82880,41600,112050,52076,134506,157791
354963,272764,1648205,1673835,105139,800180,166593,228066,964004,1265224,87969,454277,479217,283430,469974,198377,35034,23918,27317,209130,118645,174570,83631,42434,112005,53308,139666,153832
350000,259451,1495789,1666993,105488,802956,171667,228075,964127,1197041,89203,468527,475325,280719,468656,198329,34410,23259,27251,213072,118009,175119,84053,42350,117174,54319,140097,162122
350334,259887,1548524,1623921,104429,782859,160745,225335,950080,1178661,85851,490691,457083,285368,468622,193411,34239,23524,26904,208392,119328,180406,83381,42158,113823,52256,136415,162894
313456,244393,1491465,1410285,96157,718613,135524,197149,772308,1054385,74044,480728,473459,276848,425160,172795,30563,20515,24117,179230,112383,166042,77256,38556,105652,46937,129172,147822
306674,238633,1480720,1319729,93791,670762,125546,181178,676099,1055491,73279,412313,455778,271094,389209,166758,29974,20606,25028,183770,107336,152272,73966,35983,104823,46527,127239,137134
356595,278948,1804179,1678131,104028,792479,147222,227541,922469,1216407,80980,445933,490616,279486,454441,204551,33887,23278,27201,211090,117265,174347,82530,41384,117680,53301,137177,174943
355998,282781,1854794,1702716,102655,820472,149050,233493,956312,1212617,84296,441650,469529,265506,466184,207433,33904,23529,26928,215410,120427,175064,83884,42889,119750,54018,138077,181233
358470,282688,1965359,1699635,105236,829657,152059,229010,967776,1192216,84859,456396,480571,284593,470546,211794,34109,23326,27384,212165,120098,177920,85174,42812,115621,54344,140702,167858
354461,274270,1962498,1680057,104931,845285,161371,233400,973493,1166351,86320,424508,474534,290588,470288,220581,34340,23728,27945,209533,123521,174999,85322,43546,120146,56005,139194,170330
348531,270713,1841722,1630909,100680,839341,158272,228294,958691,1161208,84570,421671,446182,274827,468405,208667,33515,23915,26721,206353,122215,180874,83766,43308,121086,58871,145607,180302
313421,245889,1685810,1397191,89211,713139,123299,195293,797594,1031234,76286,431584,431142,263690,418986,183677,30634,21856,24778,177636,112100,168998,76800,38814,110283,50827,130409,169242
302621,246582,1639047,1319372,91534,638308,107632,184551,688977,990349,66176,442624,446102,267359,381775,173726,29375,21086,25441,185117,106873,156700,73438,37332,111036,49047,126263,151960
350503,277033,1781964,1684856,103677,768823,148154,227256,919760,1131251,81248,454236,483868,280817,450503,203294,32908,23353,27077,211507,118125,172207,82367,41537,119637,54761,138127,173132
348329,273461,1744879,1685226,106290,810538,155262,226010,968253,1170642,78735,457028,468755,267631,460956,199785,33501,23517,26385,213510,120118,177078,84681,43357,116862,57019,137166,178896
347460,268526,1742383,1656886,107537,779468,142794,225137,957782,1071698,78105,468345,454818,256040,467192,193852,33976,24106,27056,214228,121847,181803,84930,43063,120938,57584,139310,181975
349450,267058,1648760,1645394,105295,748901,138592,221596,978041,1158866,82012,481569,478077,264747,473056,193560,33892,23527,27674,210697,123672,179454,85259,43316,117234,53498,136274,167778
