NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
285167,204267,1454313,1132091,89044,590168,114935,171085,626712,961064,70441,460744,446222,247818,342293,165125,27162,18478,22546,155337,96523,137698,67134,30353,78784,38106,145450,113117
324243,240774,1703729,1367388,96335,731042,134183,198101,760681,997208,71770,466386,491972,265451,410708,185826,30693,20491,23933,173025,104441,140017,72170,34194,88208,48208,122794,120894
315359,235580,1727874,1328225,95215,724128,132347,188471,720790,942753,70523,450348,504620,264947,405914,197225,29639,21017,24172,169515,103371,143228,70985,34862,94994,49368,134295,138381
302009,230827,1637158,1266881,96098,700682,134468,183322,669647,960838,70217,443205,495547,256870,377825,189377,29665,21692,24102,177839,103853,141081,69459,34299,102731,47984,132159,141532
353257,268951,1901494,1511887,100745,742559,153972,203894,758833,1265523,84328,477332,487682,281434,420345,214430,33989,23787,27712,205951,119377,165728,75710,39882,103209,49677,133187,138952
354248,279818,1942273,1510149,102773,647718,162779,180024,692185,1239807,84327,493333,490490,281955,383628,221750,35429,24843,29109,206374,124603,174015,75158,41249,107521,45348,133085,122729
355440,279765,1909762,1651444,102472,809119,167345,222369,912299,1258377,90903,477731,516939,291810,475607,219337,36447,24826,29846,213019,132622,184819,86414,42632,112999,52804,127720,147882
364670,293973,1963030,1717542,104701,828438,166270,235290,945894,1245590,87317,482102,530172,283065,471937,226211,35410,24226,29141,216433,127488,189758,85990,43545,119427,56026,140530,175623
366056,301940,1986152,1738136,103404,846606,168106,236566,947849,1222616,86526,448904,516886,281063,473873,231391,34770,24134,27857,216106,120873,184872,83942,43304,128052,58970,146863,192151
328331,264669,1737322,1518773,99484,754605,158053,213052,799044,956239,70396,396218,450307,250206,443368,204200,30811,22836,25215,205343,117915,171537,75339,40297,123231,56476,144697,195952
302572,241275,1581127,1358635,93823,696172,145741,194951,701115,929774,72756,354338,390893,244226,394833,191608,30026,21933,23942,193672,107540,157655,71344,38403,118426,53697,135284,174912
359898,287682,1811070,1691336,107549,837571,160000,231601,924350,1190710,79616,415162,460060,268188,468404,220704,34157,23572,26742,214029,117195,173303,82230,41969,121810,56368,139745,182889
365310,293531,1948163,1730716,103676,862059,167632,233298,968861,1100187,76541,414387,482881,267354,475258,229433,34310,23375,27770,212121,119088,174509,82875,43025,122642,57564,145349,186203
359534,287334,1934036,1738481,104200,852371,167584,235381,976454,1084941,86379,432573,495383,270272,468815,232723,34251,23714,27472,215367,119204,176587,83131,43569,124373,58722,144757,193812
368634,303530,1995010,1770042,107918,860572,171344,235842,981521,1117505,82336,442521,510125,276599,462496,232399,33667,23678,27376,211874,117689,179510,83331,43409,123891,57718,144120,192848
353000,278228,1797220,1717752,101964,832758,163275,235195,977589,1064857,79742,466975,513047,296370,459781,227324,33846,23428,27952,208298,117232,176337,83478,43298,120817,57673,144442,183116
309379,237718,1442963,1428052,99230,721082,138716,212493,807011,952978,70305,448265,469607,283907,430862,185803,30310,22001,27059,197451,110817,172262,74593,39268,116237,51731,140811,173936
297142,227502,1371320,1298861,97483,685467,134567,182078,690346,874009,66090,434589,475223,270574,386780,169890,29505,21484,26709,178835,106307,157214,73289,35662,111452,46921,133133,156769
345590,257934,1569388,1650991,102065,786826,149484,230923,916757,1004400,78163,473649,522964,278500,450347,210438,34371,23816,26639,209295,117374,172568,81859,40651,117090,54224,143179,168278
342463,255555,1576921,1652038,105308,801134,154652,233489,962144,1080116,83542,486288,532860,290812,462243,205645,34484,23931,26778,208883,117958,177104,82936,42271,124197,55024,141682,178235
346428,259518,1698024,1655693,103629,820179,162376,227002,975578,1154838,82526,485141,535604,298821,461871,206904,34865,24322,27434,206071,121462,176722,84030,42702,118609,53477,140192,164443
357587,276544,1799942,1728094,103041,842087,171430,235142,977317,1181665,83039,483997,529195,307890,462304,217038,34348,24244,28023,213953,118372,176176,83552,42484,119154,55453,139761,164751
