NL_Nuclear energy,NL_Biomass fleet,NL_CCGT fleet E class,NL_CCGT fleet F class,NL_CCGT fleet G_H class,NL_CCGT fleet CHP,NL_Coal fleet Supercritical,BE_Nuclear energy,BE_Biomass fleet,BE_CCGT fleet F class,BE_CCGT fleet G_H class,BE_CCGT fleet CHP,BE_CCGT fleet cogen,FR_Hydro reservoir,FR_Nuclear energy,FR_Biomass fleet,FR_OCGT fleet Standard,FR_CCGT fleet E class,FR_CCGT fleet F class,FR_CCGT fleet G_H class,FR_Coal fleet Subcritical,FR_Coal fleet Supercritical,FR_Oil fleet Standard,FR_Oil fleet Supercritical,DE_Nuclear energy,DE_Biomass fleet,DE_OCGT fleet Modern,DE_OCGT fleet Standard,DE_Lignite fleet Subcritical,DE_Lignite fleet Supercritical,DE_CCGT fleet E class,DE_CCGT fleet CHP,DE_CCGT fleet F class,DE_CCGT fleet G_H class,DE_CCGT fleet cogen,DE_Coal fleet IGCC,DE_Coal fleet Subcritical,DE_Coal fleet Supercritical,DE_Oil fleet Standard,DE_Oil fleet Subcritical,DK_Biomass fleet,DK_CCGT fleet F class,DK_CCGT fleet cogen,DK_Coal fleet Subcritical,DK_Coal fleet Supercritical,DK_Oil fleet Subcritical,ES_Hydro reservoir,ES_Nuclear energy,ES_Biomass fleet,ES_OCGT fleet Standard,ES_CCGT fleet F class,ES_CCGT fleet G_H class,ES_CCGT fleet cogen,ES_Coal fleet Standard,ES_Coal fleet Subcritical,ES_Coal fleet Supercritical,PT_Hydro reservoir,PT_Biomass fleet,PT_CCGT fleet F class,PT_CCGT fleet G_H class,PT_Coal fleet Supercritical,AT_Hydro reservoir,AT_Biomass fleet,AT_CCGT fleet E class,AT_CCGT fleet F class,AT_CCGT fleet cogen,AT_Coal fleet Subcritical,AT_Coal fleet Supercritical,IT_Hydro reservoir,IT_Biomass fleet,IT_OCGT fleet Modern,IT_OCGT fleet Standard,IT_CCGT fleet E class,IT_CCGT fleet F class,IT_CCGT fleet G_H class,IT_CCGT fleet cogen,IT_Coal fleet IGCC,IT_Coal fleet Subcritical,IT_Coal fleet Supercritical,IT_Oil fleet Subcritical,GB_Nuclear energy,GB_Biomass fleet,GB_OCGT fleet Modern,GB_OCGT fleet Standard,GB_CCGT fleet E class,GB_CCGT fleet F class,GB_CCGT fleet G_H class,GB_Coal fleet Subcritical,GB_Oil fleet Standard,GB_Oil fleet Subcritical,IE_Biomass fleet,IE_OCGT fleet Modern,IE_OCGT fleet Standard,IE_Lignite fleet Subcritical,IE_CCGT fleet F class,IE_CCGT fleet G_H class,IE_CCGT fleet cogen,IE_Coal fleet Subcritical,IE_Oil fleet Modern,IE_Oil fleet Standard,IE_Oil fleet Subcritical,NO_Hydro-reservoir,NO_OCGT fleet Modern,NO_CCGT fleet F class,SE_Hydro reservoir,SE_Nuclear energy,SE_Biomass fleet,SE_CCGT fleet F class,SE_Oil fleet Standard,SE_Oil fleet Subcritical,FI_Hydro reservoir,FI_Nuclear energy,FI_Biomass fleet,FI_OCGT fleet Standard,FI_Lignite fleet Subcritical,FI_CCGT fleet E class,FI_CCGT fleet F class,FI_Coal fleet Subcritical,FI_Oil fleet Standard,FI_Oil fleet Subcritical,PL_Biomass fleet,PL_Lignite fleet Subcritical,PL_Lignite fleet Supercritical,PL_CCGT fleet E class,PL_CCGT fleet F class,PL_CCGT fleet G_H class,PL_Coal fleet Subcritical,PL_Coal fleet Supercritical,PL_Oil fleet Subcritical,CH_Hydro-reservoir,CH_Nuclear energy,LT_Biomass fleet,LT_OCGT fleet Standard,LT_CCGT fleet G_H class,LT_CCGT fleet cogen,LV_Biomass fleet,LV_CCGT fleet E class,LV_CCGT fleet F class,LV_CCGT fleet G_H class,EE_Biomass fleet,EE_Lignite fleet Subcritical,EE_Lignite fleet Supercritical,EE_CCGT fleet cogen,CZ_Nuclear energy,CZ_Biomass fleet,CZ_Lignite fleet Subcritical,CZ_Lignite fleet Supercritical,CZ_CCGT fleet F class,CZ_Coal fleet Subcritical,HU_Nuclear energy,HU_Biomass fleet,HU_OCGT fleet Modern,HU_OCGT fleet Standard,HU_Lignite fleet Subcritical,HU_CCGT fleet E class,HU_CCGT fleet F class,HU_CCGT fleet cogen,HU_Oil fleet Standard,RO_Hydro reservoir,RO_Nuclear energy,RO_Biomass fleet,RO_OCGT fleet Standard,RO_Lignite fleet Subcritical,RO_CCGT fleet F class,RO_CCGT fleet G_H class,RO_CCGT fleet cogen,RO_Coal fleet Subcritical,SK_Nuclear energy,SK_Biomass fleet,SK_Lignite fleet Subcritical,SK_CCGT fleet E class,SK_CCGT fleet F class,SK_Coal fleet Subcritical,SI_Nuclear energy,SI_Biomass fleet,SI_OCGT fleet Standard,SI_Lignite fleet Subcritical,SI_Lignite fleet Supercritical,BG_Hydro reservoir,BG_Nuclear energy,BG_Biomass fleet,BG_Lignite fleet Subcritical,BG_CCGT fleet F class,BG_CCGT fleet cogen,BG_Coal fleet Subcritical,HR_Hydro reservoir,HR_Biomass fleet,HR_CCGT fleet E class,HR_CCGT fleet F class,HR_CCGT fleet cogen,HR_Coal fleet Subcritical,HR_Oil fleet Subcritical,HR_Oil fleet Supercritical,RS_Hydro-reservoir,RS_Lignite fleet Subcritical,RS_CCGT fleet cogen,RS_Oil fleet Subcritical,GR_Hydro reservoir,GR_Biomass fleet,GR_OCGT fleet Standard,GR_Lignite fleet Subcritical,GR_Lignite fleet Supercritical,GR_CCGT fleet CHP,GR_CCGT fleet F class,GR_CCGT fleet G_H class
0,0,0,0,0,0,0,0,0,0,0,0,0,99888.23930389102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38580.870783123515,0,0,0,0,0,0,0,0,0,23113.329128588444,0,0,0,0,48313.7058559878,0,0,0,0,0,0,73660.36089447992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277045.40038182144,0,0,132143.0292370004,0,0,0,0,0,17525.291255348395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41630.10631591414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10535.823296374621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7712.60429408572,0,0,0,0,0,0,5847.736706341173,0,0,0,0,0,0,0,5243.245879045078,0,0,0,12163.0020006474,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,105716.50434957125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63630.864414147654,0,0,0,0,0,0,0,0,0,36335.75339701835,0,0,0,0,58843.169673671466,0,0,0,0,0,0,65612.862681638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273965.80207848665,0,0,134308.83574238454,0,0,0,0,0,17465.67209508174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45737.61874547435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11393.97345034467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7752.860369581405,0,0,0,0,0,0,6336.803111088548,0,0,0,0,0,0,0,5144.700455005105,0,0,0,12318.614121001217,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,132198.30005006373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67991.90328485926,0,0,0,0,0,0,0,0,0,21338.966922294985,0,0,0,0,58030.46765619553,0,0,0,0,0,0,66652.60908921609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277640.75228145934,0,0,135325.600127232,0,0,0,0,0,17580.685915519665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48821.18765577902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11930.217613151073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7485.749161312038,0,0,0,0,0,0,6350.87809374362,0,0,0,0,0,0,0,4882.396097548879,0,0,0,12348.877222438596,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,122829.26452278992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69572.64212984321,0,0,0,0,0,0,0,0,0,18300.79639142426,0,0,0,0,57744.9743870074,0,0,0,0,0,0,66269.98794643393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279439.32575186173,0,0,135816.34899215543,0,0,0,0,0,17648.787926138037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47664.66061584298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11951.3580224988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7759.260589241629,0,0,0,0,0,0,6800.885113539239,0,0,0,0,0,0,0,4967.659644142697,0,0,0,12329.224887431079,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,128774.21618233914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68968.23514552253,0,0,0,0,0,0,0,0,0,11812.498550931781,0,0,0,0,66758.73730250879,0,0,0,0,0,0,65283.72847901351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270741.3622107001,0,0,135748.65183025278,0,0,0,0,0,17548.742646903363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50342.2282817238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11951.312882834665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7860.410183219055,0,0,0,0,0,0,7564.649135160843,0,0,0,0,0,0,0,4817.352216237021,0,0,0,12342.488345468464,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,131707.54802248324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63699.53962884431,0,0,0,0,0,0,0,0,0,25118.95103271007,0,0,0,0,69506.48877271857,0,0,0,0,0,0,66233.10662549257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255473.07335948152,0,0,133020.33556345262,0,0,0,0,0,18173.45413856816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50379.81183175569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13904.280449586302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8822.898726737489,0,0,0,0,0,0,8725.311970649,0,0,0,0,0,0,0,6215.647239885552,0,0,0,13593.400566732671,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,97931.99079256723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62554.37926136756,0,0,0,0,0,0,0,0,0,16753.88026185343,0,0,0,0,67101.81420843808,0,0,0,0,0,0,65031.696091700695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208404.8017744677,0,0,113816.13124329166,0,0,0,0,0,20499.653000636008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46381.250053465315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11987.484800323602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8448.969158505954,0,0,0,0,0,0,8638.376715327751,0,0,0,0,0,0,0,6234.068847684403,0,0,0,12984.701247451998,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,92661.01998664935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57996.00957740436,0,0,0,0,0,0,0,0,0,17931.560738990465,0,0,0,0,66106.07964318489,0,0,0,0,0,0,63652.256473626585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202867.52969135818,0,0,110971.87684029918,0,0,0,0,0,21051.227834400004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44401.606829485725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10841.042658380466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7563.727347784801,0,0,0,0,0,0,6995.632643064171,0,0,0,0,0,0,0,5857.689616888173,0,0,0,12252.296830814445,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,101971.12106334993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58281.962570217336,0,0,0,0,0,0,0,0,0,13270.63015319117,0,0,0,0,66660.15644432604,0,0,0,0,0,0,63791.29845192204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200479.1485992538,0,0,109117.51749370749,0,0,0,0,0,20737.626402642025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39459.73438373926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11904.141933863135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7135.487344150621,0,0,0,0,0,0,7148.8354282466225,0,0,0,0,0,0,0,5671.064820384587,0,0,0,11893.286779318683,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,103797.52358937329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49893.49665374239,0,0,0,0,0,0,0,0,0,17117.502606817216,0,0,0,0,66300.590119678,0,0,0,0,0,0,63372.09681463359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200302.37350400392,0,0,108715.20776932208,0,0,0,0,0,20886.943976258095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39800.35482644542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10798.235210270775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6906.803577188295,0,0,0,0,0,0,7244.0377737518875,0,0,0,0,0,0,0,5726.041276071559,0,0,0,12353.846348970832,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,104284.00910199706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44666.9733914514,0,0,0,0,0,0,0,0,0,15195.566118641285,0,0,0,0,67708.59248509198,0,0,0,0,0,0,63141.3328562812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205450.84500693352,0,0,110081.61735984177,0,0,0,0,0,20911.320605547615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40889.262709190916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10997.66224620989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6809.8859651903485,0,0,0,0,0,0,7009.864595786027,0,0,0,0,0,0,0,6108.900298929641,0,0,0,12335.05333659681,0,0,0,0,0,0,0
