NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
265970,178448,1237092,1039294,82803,571013,110592,161893,617491,872447,71500,403833,408929,251749,339174,152354,27038,17890,22127,147352,96506,140501,67011,30521,85191,39140,154654,114997
317199,223151,1496640,1282648,94219,701860,130000,189638,748881,980668,75178,415145,415971,268461,402523,171402,30325,20437,24061,164172,104135,142074,72344,33757,98770,47006,128360,130442
303664,217904,1482378,1261291,87456,705982,128303,178986,707846,914831,71924,403296,411549,249386,397743,185566,29080,19842,23286,158584,102536,141744,70720,34028,101181,46224,130519,145304
288722,214390,1352408,1192878,83464,668399,122180,171396,653003,895552,70067,412464,398242,235106,366148,170368,28907,19554,22080,162284,103114,136626,69505,33291,104515,43289,125279,147967
339887,240262,1427125,1434615,99780,704205,149866,194003,743997,1107539,81417,479477,459301,266507,421919,191703,33388,22090,26265,198118,119279,161255,75395,39379,103730,46479,127518,138735
343897,261213,1683111,1453936,102547,620088,156261,175501,676664,1126101,79127,478303,479036,277901,375133,209371,35020,23185,28068,200758,124426,167973,75160,40706,100825,42648,128596,121671
343314,256297,1642182,1586902,101206,784046,154596,215785,903885,1110655,85348,459145,503665,290317,482288,206176,36365,23703,29321,207364,133841,179987,86778,42081,103474,50073,125396,143725
354051,276301,1736457,1635939,103961,818071,162476,224782,932719,1111680,82394,483485,516048,284388,477563,209152,35327,23913,29016,209036,130832,187129,86851,42755,112012,52039,135168,161876
353057,275863,1795751,1640320,103187,833177,164650,226552,936518,1119433,84797,447028,506952,280928,480925,215715,34641,23816,27804,209406,123779,182276,84829,42481,122201,54230,141368,174968
316851,244849,1579167,1429072,91979,744800,143189,201263,779869,942799,71167,410390,449751,260973,435755,189625,30864,22204,24931,184279,118857,168311,77189,39147,119325,51662,143167,191675
290668,223989,1426068,1278474,90261,685054,137855,185082,685762,890758,70723,377160,390555,255739,383436,181235,29835,21474,23570,172263,108331,153118,73228,37381,115189,49564,133320,174781
349279,268320,1765333,1632521,105874,827090,160770,222264,913258,1119247,80421,439285,459968,281096,463555,213825,33201,22964,26722,204335,120105,168933,82553,41256,115372,51735,133468,170792
358256,281861,1876128,1675705,103038,845750,167959,224000,954681,1180932,77848,437119,485949,274414,476898,219709,33909,22832,27953,206521,121987,169983,83448,42090,114363,52289,137900,158093
353783,279048,1986165,1687105,104110,847408,162701,230178,970406,1205321,85768,453855,499492,284203,476018,230516,34068,23784,28096,211315,122496,173822,84236,42991,117122,55187,141098,164252
