NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
289247,204788,1615480,1155691,91489,604238,114126,176865,638267,923178,68810,449423,419718,251035,344222,178786,27163,19411,22630,159953,95159,143385,66372,31130,81325,43860,157063,113128
330833,251338,1854055,1395042,96380,720433,128560,204512,767642,1024410,73029,437704,454189,278197,405800,198337,30752,21311,24653,176442,101537,147012,72365,34745,101659,54059,140021,144551
322328,238510,1712526,1353122,106511,704207,128767,193524,728419,1102733,77071,441571,459927,274314,411795,197265,29580,21668,26240,179391,101277,152741,68934,35546,114100,53558,138272,185069
300018,223919,1430689,1268314,104301,681540,123353,181301,659940,949616,73273,447225,462063,261948,381276,173055,29531,21777,25827,184473,101601,148624,67698,34819,120007,51017,135474,183022
343191,244700,1477491,1471706,100568,709754,141622,199217,747644,1139291,83277,467545,478636,292532,420607,191249,33954,23790,27346,206813,114899,168858,75001,39755,120780,49617,140573,170347
347531,262900,1540915,1462345,102569,607497,147456,173945,674464,1150055,81257,475756,449278,295098,380683,197500,35537,24846,28885,203572,123977,175211,75094,40594,111696,41725,128748,131727
345118,255743,1549737,1585287,102395,763245,147790,215056,899583,1145307,86496,445404,478557,294908,483455,192277,36659,24997,29889,209111,132608,184246,86927,42110,106582,48500,120729,136565
356165,279659,1807978,1645654,103874,799935,152278,227496,937089,1116386,84434,457739,472793,282242,479467,214886,35585,24792,29257,211098,129829,189632,86657,42922,111456,51857,133119,150174
356758,281254,1751114,1652409,102987,799914,154821,226977,936175,1171865,86825,413872,448852,276984,481922,205407,34606,24527,27417,213058,122544,185524,84878,42425,125050,53656,141570,168047
316432,247378,1533676,1428154,91583,718861,135302,201271,781337,932342,73457,395854,409486,245229,436838,183817,30759,22580,24032,187804,118794,173209,76966,38992,122705,50315,141649,175296
288992,220867,1284273,1262800,90152,671737,134238,183085,682010,960442,76109,381435,376348,241468,387873,171876,29840,21446,23244,178758,108869,157813,73354,36711,115936,46903,130124,162277
352722,272455,1701484,1641972,106261,836072,160517,214589,904438,1185796,81086,458606,455421,269103,469798,208063,33946,23237,26635,207672,120411,172373,82904,39842,115677,47871,127548,159973
358181,279096,1820381,1687225,102866,845662,163270,221164,957353,1045885,76350,454280,475550,259956,477107,216599,33981,23016,27337,207207,121981,173257,83454,41631,114927,49950,134184,152623
350456,267654,1693440,1667214,103798,820371,158016,223725,966370,1058758,84462,424735,461404,263672,474283,212865,34184,23480,27108,209246,122396,175233,83996,42493,114394,53331,136231,155244
352760,272379,1704647,1659156,106704,828197,156425,223150,968222,1075376,83344,423194,454693,259971,469579,209611,33769,23420,27183,206166,121518,176992,84312,41845,114188,51807,135169,161242
342079,259116,1579343,1608383,100599,785660,146072,218376,960660,1089604,79646,434290,441191,271806,465220,207867,33861,23015,27602,201139,121461,173594,84337,41397,111431,50353,131951,158056
