NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
276448,191769,1335216,1111325,85934,574889,107122,169192,625716,896489,71025,397168,398694,235067,338464,163602,27016,18333,21887,151983,96217,137880,67072,30367,79428,38188,149997,113117
314428,218927,1429570,1308023,95102,675800,123913,193525,755101,920259,72970,409147,420789,263445,409859,176284,30677,20402,23973,169982,104194,141577,72018,33559,91658,45809,125821,124233
299753,212415,1411508,1251068,86164,672580,121501,181076,707187,908143,72893,382121,395603,252209,402354,181236,29484,20079,23724,162309,102655,143288,70925,33457,97859,44348,127914,139147
286990,211539,1309415,1185627,82959,661481,126628,166551,645007,909192,74482,372759,382416,234840,369348,167856,29251,19901,22274,163446,102081,137730,69274,32192,101871,41398,119990,143834
342332,246737,1551715,1448558,99458,720549,143665,188899,737231,1154227,81803,413531,423419,261878,417076,198113,33395,22368,26303,196653,116684,160789,73019,37321,102327,42415,116648,134172
335830,246022,1470141,1424006,100969,615309,149021,169054,673118,1043702,79003,432380,414838,267615,370876,197555,34771,23048,27847,198174,123128,165167,74490,39826,99144,39604,116890,121671
337696,248393,1490299,1533446,98968,765429,149653,209475,896390,1080127,85386,382601,424514,267709,474212,190060,35640,23245,28199,202479,133376,176542,85454,40835,97942,45826,110714,136565
349303,266838,1580760,1585147,101773,798485,153888,218264,928595,1096685,83889,409982,429556,253080,470391,195800,34385,22860,26808,204026,130287,181638,85805,42044,101675,49190,124084,144592
350050,271562,1672240,1592481,101750,807425,155790,217325,930086,1153292,88121,423107,432316,257638,472173,196184,33437,22627,25856,203157,123758,177493,83952,41841,111705,51559,131286,151349
317930,251352,1584633,1428111,90255,725502,139128,196483,773292,988305,74213,434189,441095,252260,426006,179424,29845,20830,23331,180667,117103,162098,76597,38308,107148,48047,131131,150851
298572,235877,1381817,1292367,90849,668622,134154,179149,678428,984242,75181,423837,427945,268942,383228,167994,29295,20510,24229,172293,107523,146860,73024,36488,102809,45765,120293,142072
357294,283992,1664294,1663029,106966,796020,153601,219971,907034,1206353,81808,480858,524552,298965,468248,202406,33553,22836,27797,207511,119822,164816,82571,40299,103243,48773,122254,143374
355282,272395,1708820,1668627,103472,825616,165903,222947,954043,1110468,81363,474681,539516,287767,478537,207357,34359,23819,28761,207460,121783,169309,83503,41317,106625,50400,130421,143749
352762,271396,1778146,1656599,103627,819987,155594,222125,960834,1141409,86141,480742,520218,288962,474828,212005,34153,24447,28285,208049,122260,172237,83402,41415,108102,50022,128795,149045
359745,283934,1805967,1687395,107845,818762,158844,225112,970823,1066363,82626,485114,525828,288009,470301,215571,33759,24015,27838,205205,121357,171991,83733,41641,103447,50143,125120,149687
341465,257098,1569355,1618336,102573,793250,154714,222570,964345,1047778,80165,480439,519521,300406,468188,206817,33974,23608,28318,201612,121376,169073,84252,41690,101718,50814,128960,148040
300526,229093,1398910,1362208,91419,717497,140651,198000,784758,942316,73245,466496,493537,284058,424293,182231,30293,21994,26723,177050,109127,162244,76557,36949,100111,45934,124951,145367
291889,225565,1382752,1272083,89233,688601,141574,171512,673220,894956,72496,448890,475497,270574,382470,166133,29521,21483,26582,171312,101794,146709,72891,33293,101037,42408,114522,139952
342930,253434,1585849,1604686,102893,818103,157131,209308,896379,1083857,83528,474518,507447,278500,458988,196932,34371,23816,26861,195345,117640,164998,79652,38199,102502,46241,117227,149687
347846,258058,1659863,1659098,105635,837714,156981,218553,943923,1148035,85577,485587,519697,290812,469558,201634,34484,23931,26883,198307,119381,169151,81150,40160,100839,47927,112746,147283
348836,261624,1761793,1662440,105075,835239,154785,224441,961890,1197008,82256,485865,528385,298831,464950,207842,34865,24322,27434,206636,121506,170807,82341,41189,103035,49710,121445,147020
351728,269848,1724194,1672572,105191,821098,164867,226972,964996,1106887,83513,488476,524338,307890,462329,212072,34348,24244,28023,211523,122420,171539,84787,41429,107081,51915,127065,149128
350443,262060,1644354,1654252,103483,809045,161014,224501,951946,1135697,85501,500614,510252,302940,462135,204598,34263,24382,27509,207944,122184,179546,84084,41664,106993,51636,129420,146685
313066,250202,1606944,1448223,109704,723932,136913,199149,779763,1000333,72331,491174,509004,285111,430139,186802,30718,22355,26093,185170,113599,170756,77396,38796,103875,47910,127074,143135
302790,238640,1507937,1363818,109042,656207,122125,191038,686192,969009,73445,442676,485070,270291,389915,177145,29837,21228,25514,194984,107437,154928,73090,36422,101107,49618,129166,131108
349207,265416,1643127,1690185,101255,771391,145569,229461,927667,1166991,82785,490762,526862,286038,453603,206775,33745,23416,27175,211288,117690,174507,82859,41504,118050,56380,141286,164451
348813,265972,1724768,1675708,101481,818880,156090,230794,958859,1181468,85018,462523,497686,281716,466090,208111,33759,23814,27268,214263,121619,175270,84636,42906,123178,55898,140453,174601
355395,273888,1819000,1694740,104769,839751,156666,230101,973516,1110823,84364,464910,502041,289211,464484,216785,34004,23800,27331,212145,122642,178246,85708,42929,119065,55608,140911,158222
357016,272468,1849665,1707740,102428,859874,171812,235182,976330,1118193,84631,457179,522959,291022,461704,225405,34134,23834,27672,210627,124617,175628,85463,43773,117745,57573,140122,154855
350964,264255,1753926,1647492,98392,892396,172793,227649,951645,1151040,84277,457115,503205,289965,460084,212125,33532,23975,26849,206782,123136,181652,83900,43374,125580,55993,146068,161343
